block,arity,internal_nodes,topology,M_anchor,eta_anchor,pattern,scientific_instance_hash,tree_hash,homogeneous_ambient_bound,homogeneous_projected_bound,nodewise_bound,nodewise_projected_bound,path_sum_bound,path_sum_projected_bound,mixed_mask_bound,optimized_order_bound,best_certified_bound,nodewise_over_homogeneous,projected_nodewise_over_homogeneous,seed_count_required,status
D,2,3,comb,0.5,0.01,random_log_uniform,c722590d8e1320371f522a1e7bd238f96227c659286814cad57a01236e4e2477,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,8.101297270879688e-06,5.400864847253125e-06,3.0742466774173763e-06,2.5956719045969796e-06,3.0742466774173763e-06,2.5956719045969796e-06,4.874534959835085e-06,3.0742466774173763e-06,3.0742466774173763e-06,0.3794758511661869,0.48060301044510234,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.01,one_dominant,480124b3051e9725aa725ea8530f4bf9a7b87dde9cc26eee2ffe9cffd3694b9c,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00375,0.0025,0.0012525,0.00125125,0.0012525,0.00125125,0.0012537499999999999,0.0012525,0.0012525,0.334,0.5005,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.01,two_branches,b3a19c2e60fe89fb9a638ebe505b8743353b1496e54bc118a00e979a2147a94b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.00375,0.0025,0.00250125,0.0025,0.00250125,0.0025,0.00375125,0.00250125,0.00250125,0.667,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,uniform,fe8397a1c95950998fe5f395d32faeb29c2922d80907658522d91e34adcbc0b8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.037500000000000006,0.025,0.037500000000000006,0.025,0.05,0.037500000000000006,0.037500000000000006,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,root,3641c64c88049782ad2d128f4025402cb1a5be0a733b827b5049b4c5c9ae1739,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.012525000000000001,2.5e-05,0.012525000000000001,2.5e-05,0.0125375,0.012525000000000001,0.012525000000000001,0.33399999999999996,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,leaves,9ea8b4a7bc4eddc795c5a128511fd4dce0a780f1b5c965bca8afd17f477eb674,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.012525000000000001,0.012512500000000001,0.012525000000000001,0.012512500000000001,0.025025,0.012525000000000001,0.012525000000000001,0.33399999999999996,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,deepest_path,a00044a33f93ec4def644b0e01ef275364989353abcc0896c0b43202954fb5bf,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.037500000000000006,0.025,0.037500000000000006,0.025,0.05,0.037500000000000006,0.037500000000000006,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,alternating,e92ce06317f74830f7af84d46ab153a08699826ead3edbdbb3f47e71eb78e035,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.018843750000000003,0.009468750000000001,0.018843750000000003,0.009468750000000001,0.028218750000000004,0.018843750000000003,0.018843750000000003,0.5025,0.37875000000000003,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,random_log_uniform,714fdfc1bb630746780b12725e98d21a5b5168c3c7db3da0ac9c19a94f9567c1,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.04335133171055411,0.02890088780703607,0.015144847323197153,0.009886746992810756,0.015144847323197153,0.009886746992810756,0.024778476592209175,0.015144847323197153,0.015144847323197153,0.34935137458557153,0.3420914630312421,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,one_dominant,2bfcfc359b760c2954d33958875c0db36a081b7349bfc2c2b687f774bf86fe1a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.012525000000000001,0.012512500000000001,0.012525000000000001,0.012512500000000001,0.012537500000000002,0.012525000000000001,0.012525000000000001,0.33399999999999996,0.5005000000000001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.1,two_branches,178d4e8d35f7198ced88e458444d62fad8d5585913bf21b9c5aeaa158ba9f59b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.037500000000000006,0.025,0.0250125,0.025,0.0250125,0.025,0.037512500000000004,0.0250125,0.0250125,0.6669999999999999,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,uniform,2f4af957d4fe66365a2d6693bb005f0c4d0b423040cbb6303ee68caa04ff2be8,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.1875,0.125,0.1875,0.125,0.25,0.1875,0.1875,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,root,44185bcb978210b1ff35aeac71df61dded54386af3719f699c4861490cdac032,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.062625,0.000125,0.062625,0.000125,0.0626875,0.062625,0.062625,0.334,0.001,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,leaves,ff86f067c01505f4d38b982767ba679145db79732d7cf5fe92d282fb23293d7b,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.06262499999999999,0.0625625,0.06262499999999999,0.0625625,0.125125,0.06262499999999999,0.06262499999999999,0.3339999999999999,0.5005,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,deepest_path,901f986b657029d275ad0b15421c3a2e6c2aa40638b4769bff0c3c0291d70440,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.1875,0.125,0.1875,0.125,0.25,0.1875,0.1875,1.0,1.0,10,COMPLETE_CERTIFICATE_INSTANCE
D,2,3,comb,0.5,0.5,alternating,4027003b29cbd27fdf27f7fe819c9cb4bc0338ce930467a7422f44706bb1cc9f,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,0.1875,0.125,0.09421874999999999,0.04734375,0.09421874999999999,0.04734375,0.14109375,0.09421874999999999,0.09421874999999999,0.5025,0.37875,10,COMPLETE_CERTIFICATE_INSTANCE
