scientific_instance_hash,tree_hash,arity,internal_nodes,topology,eta,projected_upper,seed,restart,trajectory_id,stage,required_optimizer,status,empirical_lower_bound,certified_upper_bound,lower_to_upper_ratio,bound_violation_margin,optimizer,device,adam_steps,lbfgs_steps,wall_seconds,generated_utc,source_commit,epistemic_status
c17856b0c38e6a14b1634dcfa13d17fecba317a99711612bd2236f7f6a312e5c,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,2,left_comb,1e-08,1.0,0,2,4614f7bbed1c5dc6a8e6f61634060a1940ac79e541541e32b7c83a1f69797a08,extended,Adam_then_LBFGS,COMPLETE,0.9999863962091299,1.0,0.9999863962091299,1.3603790870120314e-05,multistart Adam + L-BFGS,cuda,10,3,0.031538199982605875,2026-07-29T18:04:51.028585+00:00,cde6f3b345727e1d4cf9fb9ab50c8a5d05e20a26,EMPIRICAL_LOWER_BOUND
c17856b0c38e6a14b1634dcfa13d17fecba317a99711612bd2236f7f6a312e5c,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,2,left_comb,1e-08,1.0,0,1,749ec1dea5425e9f50d810853f42883ec889e83e8b52a1f156b0031775793936,extended,Adam_then_LBFGS,COMPLETE,0.9999079954226294,1.0,0.9999079954226294,9.200457737057466e-05,multistart Adam + L-BFGS,cuda,10,3,0.0503943000221625,2026-07-29T18:04:50.966115+00:00,cde6f3b345727e1d4cf9fb9ab50c8a5d05e20a26,EMPIRICAL_LOWER_BOUND
c17856b0c38e6a14b1634dcfa13d17fecba317a99711612bd2236f7f6a312e5c,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,2,left_comb,1e-08,1.0,0,0,be3cdd5b180c3c3e7e575c25ec383c1b69ed079c18facac780f61d751cffd979,extended,Adam_then_LBFGS,COMPLETE,0.9779867858028513,1.0,0.9779867858028513,0.022013214197148745,multistart Adam + L-BFGS,cuda,10,3,7.429452399956062,2026-07-29T18:04:50.884770+00:00,cde6f3b345727e1d4cf9fb9ab50c8a5d05e20a26,EMPIRICAL_LOWER_BOUND
c17856b0c38e6a14b1634dcfa13d17fecba317a99711612bd2236f7f6a312e5c,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,2,left_comb,1e-08,1.0,0,3,e7ec4383e5b227f898ea1ea727df31cfb49eb719f5e79bae1e4780aba39245b5,extended,Adam_then_LBFGS,COMPLETE,0.9382533107111894,1.0,0.9382533107111894,0.06174668928881055,multistart Adam + L-BFGS,cuda,10,3,0.029662900022231042,2026-07-29T18:04:51.088986+00:00,cde6f3b345727e1d4cf9fb9ab50c8a5d05e20a26,EMPIRICAL_LOWER_BOUND
