block,dimension,cp_rank_fraction,cp_rank,internal_nodes,topology,eta,scientific_instance_hash,controlled_cp_components,tensor_reconstruction_error,operator_output_error_upper,recursive_representation_budget,closure_budget,interaction_budget,total_theorem_budget,observed_total_error,bound_tightness,seed_count_required,status
H,16,0.05,1,16,comb,0.001,db1f7bdb086fc498b13ad1c9a29f962cf5af145a1e1af67ace08777623682a1a,16,0.9682458365518543,0.9682458365518543,399296.7198656873,0.015,386.6023865587638,399683.3372522461,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.05,1,16,comb,0.01,f059de7a1207f97045f28534c02997687b2c5a39c8da1b10666481a38ad3ded7,16,0.9682458365518543,0.9682458365518543,399296.7198656873,0.15,3866.023865587638,403162.893731275,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.05,1,16,comb,0.1,235ae70ab5fe95466b1a79bb15b62219a021cebba7fb384465448921d6adb810,16,0.9682458365518543,0.9682458365518543,399296.7198656873,1.5,38660.23865587638,437958.4585215637,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.05,1,16,balanced,0.001,bc0d77ca29944b1b00060918cd957662de204ba30195ac0123e9680dd60b1296,16,0.9682458365518543,0.9682458365518543,399296.7198656873,0.015,386.6023865587638,399683.3372522461,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.05,1,16,balanced,0.01,46bcaf35a9189ed490dbef539aa762c709cd69c281148ed9972aa6a818690c73,16,0.9682458365518543,0.9682458365518543,399296.7198656873,0.15,3866.023865587638,403162.893731275,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.05,1,16,balanced,0.1,5f393471023ea5620f62bf3576087102b966c76ac289138235036590d07d3384,16,0.9682458365518543,0.9682458365518543,399296.7198656873,1.5,38660.23865587638,437958.4585215637,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,2,comb,0.001,010f1faee665483da31efbb609eef1fd5424dd796a5efaf3ade9d8d3d8f048c5,16,0.9354143466934853,0.9354143466934853,3.6208286933869704,0.001,0.0009354143466934852,3.622764107733664,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,2,comb,0.01,331b4c781c5b7f6a82fbae24e12952b69a71e6d2a3fc3cbd4fcb92467b58ff98,16,0.9354143466934853,0.9354143466934853,3.6208286933869704,0.01,0.009354143466934852,3.640182836853905,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,2,comb,0.1,01b60d333b219be7a61f3a54ee4266b8d295d69e21c18620c3e4a3cb56005476,16,0.9354143466934853,0.9354143466934853,3.6208286933869704,0.1,0.09354143466934853,3.814370128056319,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,2,balanced,0.001,7da0a9a43bc107bca1ec33e2c0b360211d2fdb6e8893df7064c89aa366f89faf,16,0.9354143466934853,0.9354143466934853,3.6208286933869704,0.001,0.0009354143466934852,3.622764107733664,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,2,balanced,0.01,506963ac2048b0b462aedaf76b081350c33012a51c5415cb2fd86d88dd505a8e,16,0.9354143466934853,0.9354143466934853,3.6208286933869704,0.01,0.009354143466934852,3.640182836853905,,,10,COMPLETE_ANALYTIC_CP_BUDGET
H,16,0.1,2,2,balanced,0.1,b241790b90649154bbb9ba33d177b5b1ba232a83a314f5cf9936efa2031c1c86,16,0.9354143466934853,0.9354143466934853,3.6208286933869704,0.1,0.09354143466934853,3.814370128056319,,,10,COMPLETE_ANALYTIC_CP_BUDGET
