tree_hash,internal_nodes,topology,node_index,main_effect,shapley_projected,full_mask_projected_error
73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf,5,balanced,4,0.0,0.004825613818551417,0.03910300627829011
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,0,0.0,0.0049500625625777065,0.009850375627355468
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,1,0.0,0.0049500625625777065,0.009850375627355468
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,2,0.0,-1.6583165933333385e-05,0.009850375627355468
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,3,0.0,-1.658316593330563e-05,0.009850375627355468
d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661,5,two_branch,4,0.0,-1.658316593330563e-05,0.009850375627355468
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,0,0.0,0.02425516666666664,0.14553099999999985
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,1,0.0,0.02425516666666664,0.14553099999999985
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,2,0.0,0.02425516666666664,0.14553099999999985
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,3,0.0,0.02425516666666664,0.14553099999999985
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,4,0.0,0.02425516666666664,0.14553099999999985
f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2,6,comb,5,0.0,0.02425516666666664,0.14553099999999985
cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4,6,balanced,0,0.0,0.009784541708385124,0.038906999999999914
cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4,6,balanced,1,0.0,0.009784541708385124,0.038906999999999914
