block,type_count,arity_kind,internal_nodes,dimension_profile,rank_profile,control,scientific_instance_hash,tree_hash,validation,invalid_rejected_before_evaluation,seed_count_required,status
E,2,quaternary,6,"(2, 9)","(1, 4)",valid,92d74ef6193e4c209a4b34219fa0eaae5e8f57ae485e7df99b842ee5f433083a,145a5276b16c569f0c1658ce98e357245877893d2de43193f55e9c5e00065865,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,quaternary,6,"(2, 9)","(1, 4)",invalid_edge,674015cb67357519649c2b3c057a45c532c3d6ba4cfa3a3bc0789acd8f2a1885,e0a01b5ec53d50c6eb099db529e4ffba02469f66acc3e735d1b1d59d2e452a60,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,quaternary,10,"(3, 10)","(1, 4)",valid,783b7ac0730988f5545eaa09da07c65add886fda18db5f2c4acb1aa898d18483,ff88eefc5efb7fa855650376eb383e83e09930353f471c2ca8fe78b1b3da5359,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,quaternary,10,"(3, 10)","(1, 4)",invalid_edge,6b507c9853313fc57a41b87022214c1687eed00ff1daf6cc7cb912813da4e606,fd2c642c3363dc4b86013573a1e0fda2ba63da92e0a1389c3dabc82ba67574b9,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,quaternary,16,"(3, 10)","(1, 4)",valid,6f5a3b408f535100df3b5b9d49ac7482c8fe96a2e9edf417d74036ca381a9150,47aef133de3f0e9d1e3289d0c817abd2d88914da584994fa5ce63a0578e878b0,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,quaternary,16,"(3, 10)","(1, 4)",invalid_edge,f338954de0f49f97e6570c3528211e67f1f2179198fa1c1be11043e91f46539a,2d9917c91095c800d9b68987f547c74960b2b1b58db0cdc0d3c66f9837632427,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,mixed,3,"(2, 9)","(1, 4)",valid,a48873c5b1e68a4931cd15a0f32c07df2666d7d11ee3f823ea4ebb2b739a9a00,872f720de5fc8f7b192550c45aed3cc999066b2603c577e4835011b4a41c3dd2,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,mixed,3,"(2, 9)","(1, 4)",invalid_edge,fb0c4e996b00188e650dc8e45c673b423648b9f8593bb4bc7dba97bc5ade9e74,2f2dab4599e43422c44ced38daebf10360de5c7294d1b4a27e5f6347622bb506,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
E,2,mixed,6,"(2, 9)","(1, 4)",valid,501b5ce71736267b7ac942d55e986bf1e1e53c911815defcec2001811dc86c2c,7e820f34ff6f3e520bdc7040b0f4d6759d50d24e428f6e666f3b509c4e4c41dd,ACCEPTED,False,10,COMPLETE_TYPE_VALIDATION
E,2,mixed,6,"(2, 9)","(1, 4)",invalid_edge,4d7a75531fa80454a499fc8dc111792163c054eb2485f0adf5b05d9ffb271674,2c481d187f6bfab3f57ffc2655dec64f80c25865fab403b7466374aeb18f0845,REJECTED,True,0,VERIFIED_NEGATIVE_CONTROL
