block,arity,internal_nodes,topology,eta,dimension,projector_rank,scientific_instance_hash,tree_hash,depth,imbalance,strahler_number,path_length_sum,ambient_lower,ambient_upper,projected_lower,projected_upper,normal_lower,normal_upper,ambient_relative_gap,projected_relative_gap,optimizer_seeds_required,restarts_per_seed_required,optimizer_trajectories_required,optimizer_trajectories_executed_full_core,lower_method,optimizer_status,precision,device,status
B,2,2,left_comb,0.5,2,1,78863170aacdb5d3463612e9e35d1a4a50bef624c98372fbfbb70552135791a7,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.8027756377319946,2.0,0.49999999999999994,1.0,1.7320508075688772,2.0,0.09861218113400272,0.5,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,left_comb,1.0,2,1,ff4d11f55e339c7fca8e7d7a6b662b7a75a06bd182616df0dae28fedff9b363f,771118e22e38c17b89fe5c2b9baa6acbc7633d8cd36ec18b1b27af704494ecb8,2,1,2,5,1.0,2.0,1.0,1.0,0.0,2.0,0.5,0.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,1e-08,2,1,88bc7449057edf063309e56fea869956d311e8da80eec2a016f230b9ddab5ebc,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999999999999,2.0,0.0,1.0,0.9999999999999999,2.0,0.5,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,1e-07,2,1,1208334b24ddd652792b8c166cf5e69368895c7e52f8bfbf3eb821bb1c6d1d0d,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999999999949,2.0,0.0,1.0,0.9999999999999949,2.0,0.5000000000000026,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,1e-06,2,1,e5cb9dffec8b80c2435abb0f86aa62b6aed63b29649ceaa0862c64e951aee4d2,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999999995,2.0,0.0,1.0,0.9999999999995,2.0,0.50000000000025,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,1e-05,2,1,0730adcabf375f5349687908376a351361b0b488bb346ec1730be770e276f94e,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.99999999995,2.0,0.0,1.0,0.99999999995,2.0,0.500000000025,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,0.0001,2,1,28afd96e478b3c750982d567c51f81ef9a7394cd7bfa3ec9bbbadeba8f1df3fd,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999999949999999,2.0,0.0,1.0,0.9999999949999999,2.0,0.5000000025,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,0.001,2,1,f1f35fe18dda1b926e46364d8ad4d77c3972cb19bf68e5ff582fb715eaed00c6,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999994999998749,2.0,0.0,1.0,0.9999994999998749,2.0,0.5000002500000625,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,0.01,2,1,8a4cb778af0b92e4c2834357cafb128058af33f3a176813d4659e309da8bb427,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9999499987499374,2.0,0.0,1.0,0.9999499987499374,2.0,0.5000250006250313,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
B,2,2,right_comb,0.05,2,1,6429ca4cb37fbd2e65397901dbf20d84016a47f5365875f091f0c23a50189bf6,fd4e3139d738df0eb8ac86cdcfdf6ae24c529dbe1852d7110ab463230790f9d1,2,1,2,5,0.9987492177719088,2.0,0.0,1.0,0.9987492177719088,2.0,0.5006253911140456,1.0,20,8,160,0,certified explicit gated-rotation construction,EXTENDED_PENDING_RESOURCE_GATE,interval160,cpu,COMPLETE_BASE_INSTANCE
