tree_hash,internal_nodes,topology,mask,enabled_nodes,projected_error,ambient_error
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,3,2,0.010000000000000009,0.19924858845171275
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,4,1,0.0,0.1
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,5,2,0.010000000000000009,0.19924858845171275
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,6,2,0.010000000000000009,0.19924858845171275
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,7,3,0.02984962311319861,0.29750126050153136
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,8,1,0.0,0.1
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,9,2,0.010000000000000009,0.19924858845171275
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,10,2,0.010000000000000009,0.19924858845171275
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,11,3,0.02984962311319861,0.29750126050153136
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,12,2,0.010000000000000009,0.19924858845171275
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,13,3,0.02984962311319861,0.29750126050153136
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,14,3,0.02984962311319861,0.29750126050153136
da2fc02433f7988217c90dcd14662d3166942b3408905a7affb0b4eb34db7263,4,comb,15,4,0.05929999999999991,0.3945172366323175
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,0,0,0.0,0.0
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,1,1,0.0,0.1
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,2,1,0.0,0.1
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,3,2,0.010000000000000009,0.19924858845171275
61e885a698d4cd50dd217a02e33c2fdde9608a5a64ee45893b7046f64a364ebf,4,balanced,4,1,0.0,0.1
