block,arity,internal_nodes,shape_index,tree_hash,dimension,projector_rank,field,eta,error_type,scientific_instance_hash,depth,strahler_number,path_length_sum,certified_lower_bound,construction_value_upper,certified_upper_bound,absolute_gap,relative_gap,status,lower_method,upper_theorem,global_optimum_certified,precision,device
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.01,normal,6c99af47f3dfc3bc9f4518716339bc0a70eeab22016dc265dcbd29ee1dfd7f7d,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.01,ambient,c3d752ea25a631e38cc86d00b12837338954bd492cd778ed0e9766e3fa85e292,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.01,projected,6999b6e83fd60e5f0e30e8c1e26afc445b4d6d9ba186bfba70cac91840ad79af,1,2,2,0.0,6.842277657836021e-47,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,1,real,0.01,normal,4c9a986b58665ac916e728dbd92a4a6b5bbadefc352d6528163a99ad431ec512,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.01,ambient,ba34f61a09aa8d88e19b330e1f9aff61e36a8b62b3df822dff9d7e21ad05a08c,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.01,projected,329bb10633c70cb805c96ff23f5ee9fe35a63f0d78783ef83f54062ff1f39737,1,2,2,0.0,6.842277657836021e-47,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,3,2,real,0.01,normal,c5774f6a7a013ddaa6adb744f30ce8041518518e943de613fe96274e6ace8a84,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.1,ambient,47ab4f6324b3dab9ece4f3a8db1fba53e88cc479c07a5d0a101f538ccf01f4ad,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.1,projected,27c80e01ab4af341fa95b2ac314fa2977e71afa2548775c2182242a56cdded71,1,2,2,0.0,1.3684555315672042e-47,0.0,0.0,0.0,EXACT_OPTIMAL_CONSTANT,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,True,interval160,cpu
A,2,1,0,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,2,1,real,0.1,normal,64330abe2db18c193e65d2aef38c90d1b0fbd20232c3dcbc27635fcf921832a4,1,2,2,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,NEAR_OPTIMAL_WITH_CERTIFIED_GAP,mpmath interval recursion for the explicit gated-rotation tree,THM_V3_HOMOGENEOUS_AMBIENT_K,False,interval160,cpu
