block,arity,internal_nodes,topology,dimension,requested_rank_ratio,projector_rank,eta,scientific_instance_hash,tree_hash,depth,strahler_number,ambient_lower,ambient_upper,projected_lower,projected_upper,dimension_two_embedded_lower_is_valid,larger_dimension_improvement_certified,seed_count_required,seed_evaluations_executed_full_core,optimizer_status,status
C,2,3,comb,2,0.75,1,0.1,24464494531b139f6bf83423dd04af48c8454febe9588d1256f98a093aa16926,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,2,0.75,1,0.5,47874887196b216425447d9ec089c14d4dbe42a84e4366208087f830c13fb478,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.125,1,0.0001,25da64ecc610cb7fc13f0e29da07208cd137ac0f97b3e2c8ec33f6109a0d34c5,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.125,1,0.01,bd022fcd2f47534330656d6d0d28324a2f341b71f1115d841f2a0732c8319740,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.125,1,0.1,ee834e5b9148a12c33f90074b5004a91e9679eea4aad7ca6971c297d37bcbbce,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.125,1,0.5,0fd71648fa9dd757cccdc3fcf4f6589e70fcee4965098510c437472c566b08fa,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.25,1,0.0001,ea5b52dcaefa1ca138d519be304ad551a81534cf6156924cb56a0f54ffb7ac58,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.9999999749999997,3.0,0.0002999999985,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.25,1,0.01,12d02e60d368b70dddeb45815328ca4a437f9bccea3a7b889cf89f99a0fdac9e,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.999750001250104,3.0,0.029998499962498124,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.25,1,0.1,bcb0fcf2b50e6ed43ff4bb155973ea19e9ed7aa5f24c6fe0ba0b5f766989ce8f,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.975012605015313,3.0,0.298496231131986,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
C,2,3,comb,4,0.25,1,0.5,070c82d7c169903c294e8739a8864198a45dfa4e094e6269868a41ea93b7d4f3,69cad430544b4cf0e2476864fc7fbfce938c61afa11c78436544e1a90d4d6b9d,3,2,2.384848003542364,3.0,1.2990381056766578,2.0,True,False,10,0,EXTENDED_PENDING_RESOURCE_GATE,COMPLETE_BASE_INSTANCE
