scientific_instance_hash,tree_hash,bound_family,bound,ratio_to_homogeneous
d337bf4b23003ad5dffac0eab7c0da9756b1293fdf440303d0db39ebfa6161e5,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,4.5717283064134757e-07,0.17102232242653656
d337bf4b23003ad5dffac0eab7c0da9756b1293fdf440303d0db39ebfa6161e5,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,4.5717283064134757e-07,0.17102232242653656
d337bf4b23003ad5dffac0eab7c0da9756b1293fdf440303d0db39ebfa6161e5,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,6.242463536158588e-07,0.23352232242653656
d337bf4b23003ad5dffac0eab7c0da9756b1293fdf440303d0db39ebfa6161e5,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,4.5717283064134757e-07,0.17102232242653656
21110fb02f8e8cdbc11fd084b6f626537454acbff087e0dacb6afea2cbe8f57d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,3.7500000000000003e-05,1.0
21110fb02f8e8cdbc11fd084b6f626537454acbff087e0dacb6afea2cbe8f57d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,1.2525000000000001e-05,0.334
21110fb02f8e8cdbc11fd084b6f626537454acbff087e0dacb6afea2cbe8f57d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,1.2525000000000001e-05,0.334
21110fb02f8e8cdbc11fd084b6f626537454acbff087e0dacb6afea2cbe8f57d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,1.2537500000000002e-05,0.3343333333333333
21110fb02f8e8cdbc11fd084b6f626537454acbff087e0dacb6afea2cbe8f57d,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,1.2525000000000001e-05,0.334
daed1be59b01ffef12d779f62cfa05d81c87cb5b915487fd013f5e1292f69fd0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,3.7500000000000003e-05,1.0
daed1be59b01ffef12d779f62cfa05d81c87cb5b915487fd013f5e1292f69fd0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,2.50125e-05,0.6669999999999999
daed1be59b01ffef12d779f62cfa05d81c87cb5b915487fd013f5e1292f69fd0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,2.50125e-05,0.6669999999999999
daed1be59b01ffef12d779f62cfa05d81c87cb5b915487fd013f5e1292f69fd0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,3.7512500000000004e-05,1.0003333333333333
daed1be59b01ffef12d779f62cfa05d81c87cb5b915487fd013f5e1292f69fd0,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,2.50125e-05,0.6669999999999999
cf6430525c8b7f8ecb60c2301edc41d4093aac75cc584c250e43a4bfdead0f2a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
cf6430525c8b7f8ecb60c2301edc41d4093aac75cc584c250e43a4bfdead0f2a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.00375,1.0
cf6430525c8b7f8ecb60c2301edc41d4093aac75cc584c250e43a4bfdead0f2a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,path_sum,0.00375,1.0
cf6430525c8b7f8ecb60c2301edc41d4093aac75cc584c250e43a4bfdead0f2a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,mixed_mask,0.005,1.3333333333333335
cf6430525c8b7f8ecb60c2301edc41d4093aac75cc584c250e43a4bfdead0f2a,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,optimized_order,0.00375,1.0
9835a54d45fd6754be7b397fb377591bb1902c38d8281839444f6d226f6826ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,homogeneous,0.00375,1.0
9835a54d45fd6754be7b397fb377591bb1902c38d8281839444f6d226f6826ac,038a9ec6f7cd5df5184b943fec3ad730920441b925da19ac30283a904b9ff2b9,nodewise,0.0012525,0.334
