experiment_id,resolved_config_hash,mathematical_object_hash,input_artifact_hash,seed,precision,backend,device,implementation_version,run_id,status,failure_reason,run_path,method,closure_leakage,principal_angle_radians,projector_rank,runtime_seconds,ram_peak_bytes,vram_peak_bytes,convergence_status,failure_count
V2_PROJECTOR_RECOVERY,73344649f17a5a4848ec6bfd7226aa8597010b61ad1677d33934a0cb3f76b7ab,991f121823f7497bd138f0d0692ab7710a64bfcd394cc6bc7370142cee5473a9,506c924445b0cd1233410fbc135e51c775a3247ffb63f5d314405819bd12e44f,0,float64,numpy,cpu,research_v2.1,v2_projector_recovery_c4096c402eed87c5,complete,,artifacts\runs_v2\v2_projector_recovery_c4096c402eed87c5,known_invariant,0.001900346567327817,0.0,2,0.005429100012406707,6288,0,complete,0
V2_PROJECTOR_RECOVERY,ad14ad52351d9c9bc0b14266150e90baaf87a8d4e584e1a7c1927e4d942493f2,991f121823f7497bd138f0d0692ab7710a64bfcd394cc6bc7370142cee5473a9,506c924445b0cd1233410fbc135e51c775a3247ffb63f5d314405819bd12e44f,0,float64,numpy,cpu,research_v2.1,v2_projector_recovery_bf998efb99012f07,complete,,artifacts\runs_v2\v2_projector_recovery_bf998efb99012f07,random,0.7010102730907398,1.3199503914542143,2,0.0049715000204741955,6288,0,complete,0
V2_PROJECTOR_RECOVERY,93bbf08da1ad000ab8723e286451d5250bbb64e064e37de9b75fd1fd5c061d62,991f121823f7497bd138f0d0692ab7710a64bfcd394cc6bc7370142cee5473a9,506c924445b0cd1233410fbc135e51c775a3247ffb63f5d314405819bd12e44f,0,float64,numpy,cpu,research_v2.1,v2_projector_recovery_59c3185392d25e21,complete,,artifacts\runs_v2\v2_projector_recovery_59c3185392d25e21,pca,0.0017607498602270032,0.010042227855402777,2,0.004342700005508959,6288,0,complete,0
V2_PROJECTOR_RECOVERY,b0c8a13cd3919b04d01537efdaed15503d4137d6ddb606a546b71970f6c88057,991f121823f7497bd138f0d0692ab7710a64bfcd394cc6bc7370142cee5473a9,506c924445b0cd1233410fbc135e51c775a3247ffb63f5d314405819bd12e44f,0,float64,numpy,cpu,research_v2.1,v2_projector_recovery_23c3794fd3c2e11f,complete,,artifacts\runs_v2\v2_projector_recovery_23c3794fd3c2e11f,svd,0.0018080902050523562,0.0053122265942509425,2,0.005636800022330135,6288,0,complete,0
V2_PROJECTOR_RECOVERY,613f8991f766b9739dd0c9a6a6bd1f8dd946e947a378e87adf8180ef95273d60,991f121823f7497bd138f0d0692ab7710a64bfcd394cc6bc7370142cee5473a9,506c924445b0cd1233410fbc135e51c775a3247ffb63f5d314405819bd12e44f,0,float64,numpy,cpu,research_v2.1,v2_projector_recovery_8a43d16c4b3e83d7,complete,,artifacts\runs_v2\v2_projector_recovery_8a43d16c4b3e83d7,spectral,0.0020567958930036226,0.021413746453935737,2,0.005244500003755093,6288,0,complete,0
V2_PROJECTOR_RECOVERY,cffe2ad89f9ec2057f38b14278e78a0c1b46503875a2ab05076d97a5edb7e4fb,991f121823f7497bd138f0d0692ab7710a64bfcd394cc6bc7370142cee5473a9,506c924445b0cd1233410fbc135e51c775a3247ffb63f5d314405819bd12e44f,0,float64,numpy,cpu,research_v2.1,v2_projector_recovery_0f6855aad7fe763e,complete,,artifacts\runs_v2\v2_projector_recovery_0f6855aad7fe763e,closure_minimizing,0.1732083778303955,1.279117758526389,2,0.005185400019399822,6288,0,complete,0
V2_PROJECTOR_RECOVERY,73344649f17a5a4848ec6bfd7226aa8597010b61ad1677d33934a0cb3f76b7ab,64a78160844f7e3ff4414d5a4e75602658a7935b37b4b75aa6a7f47bf18f98c5,b8814c1a8ce7db4f302a0ed87ec2d0b9ecc6e901cf8f3e1ac596818cc5fea0a6,1,float64,numpy,cpu,research_v2.1,v2_projector_recovery_dbad7e878a0e8fee,complete,,artifacts\runs_v2\v2_projector_recovery_dbad7e878a0e8fee,known_invariant,0.0007328889491905325,0.0,2,0.005509299982804805,6288,0,complete,0
V2_PROJECTOR_RECOVERY,ad14ad52351d9c9bc0b14266150e90baaf87a8d4e584e1a7c1927e4d942493f2,64a78160844f7e3ff4414d5a4e75602658a7935b37b4b75aa6a7f47bf18f98c5,b8814c1a8ce7db4f302a0ed87ec2d0b9ecc6e901cf8f3e1ac596818cc5fea0a6,1,float64,numpy,cpu,research_v2.1,v2_projector_recovery_230de994eb10fc6e,complete,,artifacts\runs_v2\v2_projector_recovery_230de994eb10fc6e,random,0.2572254711854316,0.8424317378807455,2,0.005726099945604801,6288,0,complete,0
V2_PROJECTOR_RECOVERY,93bbf08da1ad000ab8723e286451d5250bbb64e064e37de9b75fd1fd5c061d62,64a78160844f7e3ff4414d5a4e75602658a7935b37b4b75aa6a7f47bf18f98c5,b8814c1a8ce7db4f302a0ed87ec2d0b9ecc6e901cf8f3e1ac596818cc5fea0a6,1,float64,numpy,cpu,research_v2.1,v2_projector_recovery_37216a5eaf7c20ca,complete,,artifacts\runs_v2\v2_projector_recovery_37216a5eaf7c20ca,pca,0.00039087805392135587,0.030700173164545826,2,0.005140500026755035,6288,0,complete,0
V2_PROJECTOR_RECOVERY,b0c8a13cd3919b04d01537efdaed15503d4137d6ddb606a546b71970f6c88057,64a78160844f7e3ff4414d5a4e75602658a7935b37b4b75aa6a7f47bf18f98c5,b8814c1a8ce7db4f302a0ed87ec2d0b9ecc6e901cf8f3e1ac596818cc5fea0a6,1,float64,numpy,cpu,research_v2.1,v2_projector_recovery_3f85ec90fb33ffaf,complete,,artifacts\runs_v2\v2_projector_recovery_3f85ec90fb33ffaf,svd,0.0003489667018465285,0.02279761736041672,2,0.004882700042799115,6288,0,complete,0
