experiment_id,resolved_config_hash,mathematical_object_hash,input_artifact_hash,seed,precision,backend,device,implementation_version,run_id,status,failure_reason,run_path,control,gap,relative_perturbation,perturbation_norm,snapped_projector_distance,theoretical_bound,bound_respected,runtime_seconds,ram_peak_bytes,vram_peak_bytes,convergence_status,failure_count
V2_SPECTRAL_GAP,4f59ab3fb4df126038f667bba0ef8d60668e6c34ed216b094e7f10097a9545a7,5c1bbbd99e20f5b4f4c5615377a34141ba4b22fdae1fce311dee2a47a94d022c,054d06080ca435fc4152bf05da66ad4387527729f413db1285760aec899703b4,0,float64,numpy,cpu,research_v2.1,v2_spectral_gap_395a74a21c917ba9,complete,,artifacts\runs_v2\v2_spectral_gap_395a74a21c917ba9,positive_gap,0.05,0.1,0.005000000000000001,0.017154667218634907,0.4000000000000001,True,0.00019539997447282076,4452,0,complete,0
V2_SPECTRAL_GAP,97a0284912ca0394b0501c687ca329701c4c710bca61d90a38d5b2a5adabb88f,5c1bbbd99e20f5b4f4c5615377a34141ba4b22fdae1fce311dee2a47a94d022c,c2016957206a55e32439101a84c26f4023b05ef11bb2f320b683b55382940071,0,float64,numpy,cpu,research_v2.1,v2_spectral_gap_c0dd3c60b466cbd9,complete,,artifacts\runs_v2\v2_spectral_gap_c0dd3c60b466cbd9,positive_gap,0.05,0.4,0.020000000000000007,0.0548366575173441,1.0,True,0.00020190002396702766,4452,0,complete,0
V2_SPECTRAL_GAP,ff46eac223ecf67707083b7b91041cb67fbbc505ca43f0a2cacdc4634487717b,9dfdd2bd91949b64108270081222aab30eb4ba58d5b4db72710d39ce8a803075,810bb0d790c2a757e16982fbf294632d05c9a747f3091cff14b527e603f043d2,0,float64,numpy,cpu,research_v2.1,v2_spectral_gap_572175dc758b5d04,complete,,artifacts\runs_v2\v2_spectral_gap_572175dc758b5d04,no_gap,1e-08,1.0,2e-08,1.0,,,0.0,0,0,rank_flip_control,0
V2_SPECTRAL_GAP,5c9056cbcac5bbb7ce88d7a2699c9a076c0ef9d4fe58b1ca25bcd68adcc88914,b0bea2ee90375e9a47a935c9fb96e5f1c069660415d54f9974cc329373e5e0b9,668e5eeb0ea59ff595bec7b0751ec6324b99cf8464edadccb76b48f71eef71af,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_969a402b3136abaa,complete,,artifacts\runs_v2\v2_spectral_gap_969a402b3136abaa,positive_gap,0.5,0.01,0.005,0.0039940795160243875,0.04,True,0.00014180003199726343,4452,0,complete,0
V2_SPECTRAL_GAP,ad5b85b5ec36b15a6c942dadafba07ee0c7ff1d51c50181d4b1d1714340315fb,b0bea2ee90375e9a47a935c9fb96e5f1c069660415d54f9974cc329373e5e0b9,28b9b8d717927cdd1decc52abbfde6a177aba85337876edaaba27d1e741c7385,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_7c2028a75386bdd4,complete,,artifacts\runs_v2\v2_spectral_gap_7c2028a75386bdd4,positive_gap,0.5,0.1,0.04999999999999999,0.04449011717157704,0.3999999999999999,True,0.0001776000135578215,4452,0,complete,0
V2_SPECTRAL_GAP,d36c619ca9d53f3810d816f159a604cda78721a9150437644596b8ed3e0373b0,b0bea2ee90375e9a47a935c9fb96e5f1c069660415d54f9974cc329373e5e0b9,cbbc917a69a2427cbe0dc39632c0e76ee6c71b42be99d2ba1e61a122ca1efcaa,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_7564e4bb372881ff,complete,,artifacts\runs_v2\v2_spectral_gap_7564e4bb372881ff,positive_gap,0.5,0.4,0.19999999999999996,0.1689707895505192,1.0,True,0.0001829999964684248,4452,0,complete,0
V2_SPECTRAL_GAP,689ac8f58633be4bc3bfbd0b0f8a488eb275ea817c1d1ddd6221f95a94cd7caf,2f681477f24ca54be237b739dd05b10603ad1f8e1565186cdad57234ddbb0efd,d67ec6c4006103dbf0c9f15c56fac68582fdd4b3bdeaacb4b3f6ef624175634e,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_2ddb0321dd356adb,complete,,artifacts\runs_v2\v2_spectral_gap_2ddb0321dd356adb,positive_gap,0.2,0.01,0.002,0.0016267661069295195,0.04,True,0.00012169999536126852,4452,0,complete,0
V2_SPECTRAL_GAP,d8c344dc04126bc1efc6405b80d7e95a073bd7ce3a17da061387a42b3bab41a0,2f681477f24ca54be237b739dd05b10603ad1f8e1565186cdad57234ddbb0efd,12cbcf56ca15483ec1928bc54fa3e5dd66e98bb65cdd6a1d76a8141810f549e7,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_6069f8d43a672c89,complete,,artifacts\runs_v2\v2_spectral_gap_6069f8d43a672c89,positive_gap,0.2,0.1,0.020000000000000004,0.026809427686040038,0.4000000000000001,True,0.00017369998386129737,4452,0,complete,0
V2_SPECTRAL_GAP,59a51adc08e58823f8171fc580ad610b847f275aed74366fce932a68d6dcb018,2f681477f24ca54be237b739dd05b10603ad1f8e1565186cdad57234ddbb0efd,1b8a6f1e588e92455ab45837e867855be3748c27815237b280dd9c36c23c807f,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_ee5bebebb2ae00ac,complete,,artifacts\runs_v2\v2_spectral_gap_ee5bebebb2ae00ac,positive_gap,0.2,0.4,0.08,0.1353587131060991,1.0,True,0.00017180002760142088,4452,0,complete,0
V2_SPECTRAL_GAP,d5a96afb614f5f53b51d12594d851dd9fe5464e44fb49660e70f909e9866bcc8,26d0198c2cafc79f86012481ab0fd40f3dcb09eefbfede70c385db40314d2f83,53466d17fbeb8a55a38301f9f451e0895ed523b80ae154c44967d6ffcc21ac32,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_599cb5a001e65481,complete,,artifacts\runs_v2\v2_spectral_gap_599cb5a001e65481,positive_gap,0.1,0.01,0.001,0.0009692330734379933,0.04,True,0.00019510003039613366,4452,0,complete,0
V2_SPECTRAL_GAP,086f2b39ee533eefde5a23eac40f598b1f58dcb27444e93233af7baeed3146bc,26d0198c2cafc79f86012481ab0fd40f3dcb09eefbfede70c385db40314d2f83,1c08e14f3456d3240f73bd0a1e3c9aa6536614b5a11457486869229298dcd749,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_8cdbf2d802ddb2c7,complete,,artifacts\runs_v2\v2_spectral_gap_8cdbf2d802ddb2c7,positive_gap,0.1,0.1,0.010000000000000004,0.01661597820059218,0.40000000000000013,True,0.00018769997404888272,4452,0,complete,0
V2_SPECTRAL_GAP,637b95f7d4c28e3226c6b935cdaf3ed66c739cefd5e9f69e967e3cd7c55ae6bb,26d0198c2cafc79f86012481ab0fd40f3dcb09eefbfede70c385db40314d2f83,63e3035d731c540cd00bd8c863f4fcc6991e6d8e70fd07d08b0aa60a9995e246,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_d9270852ba8a077a,complete,,artifacts\runs_v2\v2_spectral_gap_d9270852ba8a077a,positive_gap,0.1,0.4,0.04000000000000001,0.0447003939210213,1.0,True,0.0001946999691426754,4452,0,complete,0
V2_SPECTRAL_GAP,3d53830bb836dfbcded9e4f355dd823f939a1f321861a91667f4c7b01fb5c644,5c1bbbd99e20f5b4f4c5615377a34141ba4b22fdae1fce311dee2a47a94d022c,bf9194e07026f2c91b91375ae8861071e8ba3ed62d9d01d574f1e41ed295b551,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_a5f5f04494de11b4,complete,,artifacts\runs_v2\v2_spectral_gap_a5f5f04494de11b4,positive_gap,0.05,0.01,0.0005,0.0007476961011368258,0.04,True,0.00011889997404068708,4452,0,complete,0
V2_SPECTRAL_GAP,4f59ab3fb4df126038f667bba0ef8d60668e6c34ed216b094e7f10097a9545a7,5c1bbbd99e20f5b4f4c5615377a34141ba4b22fdae1fce311dee2a47a94d022c,556877c598eb57afda04c333f430f718ddd21391a9a09d4610bd591cebf2b251,1,float64,numpy,cpu,research_v2.1,v2_spectral_gap_fcb74da8dcd7a6f4,complete,,artifacts\runs_v2\v2_spectral_gap_fcb74da8dcd7a6f4,positive_gap,0.05,0.1,0.005,0.015022668643118638,0.39999999999999997,True,0.00017919996753335,4452,0,complete,0
