extremizer_id,tree_hash,eta,dimension,projector_rank,construction,error_type,certified_ratio_lower,certified_ratio_upper,tensor_formula,status
1069e6dc93ee6a6a35b2172a6ea2b462bc5b0605e5952ff0d7c918a942cb4dc7,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,2,1,gated_planar_rotation_embedded,ambient,0.9999999999999999,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
1069e6dc93ee6a6a35b2172a6ea2b462bc5b0605e5952ff0d7c918a942cb4dc7,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,2,1,gated_planar_rotation_embedded,projected,0.0,1.3684555315672042e-47,rotation_tensor,CERTIFIED_LOWER_BOUND
1069e6dc93ee6a6a35b2172a6ea2b462bc5b0605e5952ff0d7c918a942cb4dc7,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,2,1,gated_planar_rotation_embedded,normal,0.9999999999999999,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
d09a8689ba01404e89116accf55570cf5afb4720cef126d1983e1e7ceedbdf46,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,3,1,gated_planar_rotation_embedded,ambient,0.9999999999999999,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
d09a8689ba01404e89116accf55570cf5afb4720cef126d1983e1e7ceedbdf46,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,3,1,gated_planar_rotation_embedded,projected,0.0,1.3684555315672042e-47,rotation_tensor,CERTIFIED_LOWER_BOUND
d09a8689ba01404e89116accf55570cf5afb4720cef126d1983e1e7ceedbdf46,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,3,1,gated_planar_rotation_embedded,normal,0.9999999999999999,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
457f38154502c5384cb52f79e7441ecdaa5d462c5c69cf94eee51c908fb00220,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,3,2,gated_planar_rotation_embedded,ambient,0.9999999999999999,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
457f38154502c5384cb52f79e7441ecdaa5d462c5c69cf94eee51c908fb00220,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,3,2,gated_planar_rotation_embedded,projected,0.0,1.3684555315672042e-47,rotation_tensor,CERTIFIED_LOWER_BOUND
457f38154502c5384cb52f79e7441ecdaa5d462c5c69cf94eee51c908fb00220,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.1,3,2,gated_planar_rotation_embedded,normal,0.9999999999999999,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
71c4b73eb4e2128663b29dff7f10291219d3f59304607d862ce1739bb6eaf21a,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,2,1,gated_planar_rotation_embedded,ambient,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
71c4b73eb4e2128663b29dff7f10291219d3f59304607d862ce1739bb6eaf21a,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,2,1,gated_planar_rotation_embedded,projected,0.0,1.3684555315672042e-48,rotation_tensor,CERTIFIED_LOWER_BOUND
71c4b73eb4e2128663b29dff7f10291219d3f59304607d862ce1739bb6eaf21a,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,2,1,gated_planar_rotation_embedded,normal,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
78371ee183745e18cafbb5225bd619f6df1f3277959cbce15295510be08a1be9,8921a91214a4c8f76fa78224976957b0bfb8b3feea3a0d83fbc8f83908084067,0.5,3,1,gated_planar_rotation_embedded,ambient,1.0,1.0,rotation_tensor,CERTIFIED_LOWER_BOUND
