experiment_id,group,metric,n_unique_runs,mean,std,median,min,max,ci95_half_width,effect_size_vs_reference,convergence_status,failure_count
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.0,observed_error,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.0,ram_peak_bytes,5,9344.2,96.59813662799093,9301.0,9301.0,9517.0,84.672,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.0,runtime_seconds,5,0.0011319799930788576,7.847720641682545e-05,0.001111100020352751,0.0010430999682284892,0.0012226999970152974,6.878830434706332e-05,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.0,theoretical_bound,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.0,tightness_ratio,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.01,observed_error,5,0.0007490680689538063,0.00020528069758417916,0.0007930482885934658,0.0004939644152219941,0.00102626329454857,0.00017993646495258615,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.01,ram_peak_bytes,5,9329.8,64.39875775199395,9301.0,9301.0,9445.0,56.44800000000001,-0.17541160386142357,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.01,runtime_seconds,5,0.0011547600035555661,9.652535361924345e-05,0.00116460002027452,0.0010172000038437545,0.0012547000078484416,8.460820287997481e-05,0.2589656376866233,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.01,theoretical_bound,5,0.020000999975001245,5.485677294651096e-18,0.020000999975001245,0.020000999975001238,0.02000099997500125,4.808408154719061e-18,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.01,tightness_ratio,5,0.037451530917956506,0.010263521715951922,0.03965043195763598,0.024696985942672275,0.05131059926160047,0.008996373440202205,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.05,observed_error,5,0.0037453403447690317,0.0010264034879208961,0.003965241442967329,0.0024698220761099703,0.00513131647274285,0.0008996823247629311,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.05,ram_peak_bytes,5,9329.8,64.39875775199395,9301.0,9301.0,9445.0,56.44800000000001,-0.17541160386142357,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.05,runtime_seconds,5,0.00109579999698326,5.855991936732412e-05,0.0011009000008925796,0.001035400026012212,0.0011567999608814716,5.1330032501199335e-05,-0.5225416934377852,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.05,theoretical_bound,5,0.10012492197250392,1.5515838457795457e-17,0.10012492197250392,0.10012492197250389,0.10012492197250392,1.3600232051658166e-17,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.05,tightness_ratio,5,0.03740667429231624,0.010251228841933729,0.0396029416537898,0.024667405751269675,0.05124914328674335,0.008985598261040343,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.1,observed_error,5,0.007490680689538063,0.0020528069758417923,0.007930482885934658,0.004939644152219941,0.0102626329454857,0.0017993646495258623,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.1,ram_peak_bytes,5,9301.0,0.0,9301.0,9301.0,9301.0,0.0,-0.6324555320336864,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.1,runtime_seconds,5,0.001156679994892329,0.0001058851494457211,0.001141799963079393,0.0010112000163644552,0.0012984999921172857,9.281242565159576e-05,0.26503782772004186,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.1,theoretical_bound,5,0.20099751242241776,3.671717528720129e-17,0.20099751242241776,0.2009975124224177,0.20099751242241778,3.218402315451132e-17,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,associator_left|epsilon=0.1,tightness_ratio,5,0.0372675293303909,0.010213096426425414,0.039455627039144146,0.024575648189310677,0.051058507251162795,0.008952173725136982,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.0,observed_error,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.0,ram_peak_bytes,5,9877.0,71.55417527999327,9845.0,9845.0,10005.0,62.71999999999999,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.0,runtime_seconds,5,0.0024017199873924257,0.00033855259352780405,0.002258299966342747,0.002003900008276105,0.002806900010909885,0.00029675443233011386,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.0,theoretical_bound,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.0,tightness_ratio,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.01,observed_error,5,5.752946593159032e-05,7.819552906488666e-05,3.7465158250961587e-06,1.336413630644172e-07,0.0001656355634530868,6.854140326205367e-05,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.01,ram_peak_bytes,5,9873.8,64.39875775199395,9845.0,9845.0,9989.0,56.44800000000001,-0.04701004947223754,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.01,runtime_seconds,5,0.002269459993112832,0.00012590066137424663,0.0022473999997600913,0.0021231999853625894,0.0024429000332020223,0.00011035679540003903,-0.5178334551043222,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.01,theoretical_bound,5,0.04000600014999749,2.110382192020081e-17,0.04000600014999748,0.040006000149997466,0.04000600014999751,1.8498315516258707e-17,NA_zero_variance,complete,0
V2_APPROX_CLOSURE_BOUND,balanced|epsilon=0.01,tightness_ratio,5,0.0014380209397563061,0.001954595030038052,9.364884794903427e-05,3.3405329841360223e-06,0.004140268030596834,0.0017132780834141442,NA_zero_variance,complete,0
