tolerance,instances,tax_m24_storage,tax_pyth_storage,recovered_storage,tax_m24_flops,tax_pyth_flops,recovered_flops,q_frontier_pyth
0.3,80,1.2571428571428571,1.2571428571428571,0.0,1.394057476863127,1.394057476863127,0.0,0.4552223096856438
0.1,80,1.0,1.0,nan,1.0,1.0,nan,0.15174076989521462
0.03,80,1.0,1.0,nan,1.0,1.0,nan,0.04552223096856438
0.01,80,1.0,1.0,nan,1.0,1.0,nan,0.015174076989521461
0.003,80,1.0,1.0,nan,1.0,1.0,nan,0.004552223096856439
0.001,80,1.0,1.0,nan,1.0,1.0,nan,0.001517407698952146
