tolerance,instances,tax_m24_storage,tax_pyth_storage,recovered_storage,tax_m24_flops,tax_pyth_flops,recovered_flops,q_frontier_pyth
0.3,60,3.75,3.473684210526316,0.10047846889952149,5.346354166666667,5.227397260273973,0.027369354137084793,0.6533789951969506
0.1,60,2.112,2.112,0.0,2.8100147275405005,2.8100147275405005,0.0,0.5705589875495423
0.03,60,1.4193548387096775,1.4193548387096775,0.0,1.6434108527131783,1.6434108527131783,0.0,0.23696320527262005
0.01,60,1.11864406779661,1.11864406779661,0.0,1.180449577232419,1.180449577232419,0.0,0.07898773509087335
0.003,60,1.0,1.0,nan,1.0,1.0,nan,0.023696320527262005
0.001,60,1.0,1.0,nan,1.0,1.0,nan,0.007898773509087336
