tolerance,instances,tax_m24_storage,tax_pyth_storage,recovered_storage,tax_m24_flops,tax_pyth_flops,recovered_flops,q_frontier_pyth
0.3,60,1.9131428571428573,1.9131428571428573,0.0,2.469739506627393,2.469739506627393,0.0,0.3632479502862646
0.1,60,1.11864406779661,1.11864406779661,0.0,1.180449577232419,1.180449577232419,0.0,0.12108265009542155
0.03,60,1.0,1.0,nan,1.0,1.0,nan,0.03632479502862646
0.01,60,1.0,1.0,nan,1.0,1.0,nan,0.012108265009542155
0.003,60,1.0,1.0,nan,1.0,1.0,nan,0.0036324795028626466
0.001,60,1.0,1.0,nan,1.0,1.0,nan,0.0012108265009542155
