family,dim,n,alpha_mean,alpha_std,r_eff,r_eff_lo,r_eff_hi,r_eff_entropy,R1,R4,stable_rank,interaction_over_first_order,neg_energy
A0_degenerate_a0.5,8,10,0.5,0.0,7.1662721591768435,6.338030286169793,7.960763847361567,5.3225090928518375,0.38993042215575213,0.8710611054702211,2.7098969888472277,1.4552797545471994,0.48417605476155473
A0_degenerate_a1.0,8,10,1.0,0.0,5.085285373945381,4.276856746398708,6.111662157632409,3.6650458897735816,0.4744376968205116,0.9414023865528793,2.2500065912555027,1.255035417030999,0.45167504066390507
A0_degenerate_a1.5,8,10,1.5,0.0,4.80416312895401,4.149111837058346,5.378940246432486,3.393465450458108,0.5036289861921535,0.963814795550541,2.1073182592769952,0.8257074552420629,0.4184113896064818
A1_narrow_a0.5_e0.05,8,10,0.4996912778110672,0.02825155461885333,7.0494137358248,6.535537810874133,7.509806037592836,5.0816169334902614,0.3862408357021908,0.8791978204804491,2.696436675682192,1.4902824402231998,0.4821562484273432
A1_narrow_a0.5_e0.15,8,10,0.5060563579580463,0.080097335553581,6.777336241931211,5.648128479713612,7.6949280344445254,5.18518333768417,0.3540613608864825,0.8733322743590234,2.9394208782290496,1.73502962111328,0.5012686387073507
A1_narrow_a0.5_e0.3,8,10,0.47851375430974147,0.16558273663864526,6.6628304271518415,5.802675500007092,7.387489491109359,4.824673065892589,0.38608321824354974,0.8804577579693855,2.6847289275997337,1.9884168045712105,0.4958933537204756
A1_narrow_a1.0_e0.05,8,10,1.002894445420415,0.02845323848024936,5.025731642539026,4.317356279067562,5.839635275536877,3.534486907200774,0.4856251371648404,0.9414031217969097,2.176428816494445,1.2174727262274314,0.4409935290080257
A1_narrow_a1.0_e0.15,8,10,1.0114718826331024,0.08213137409701252,5.344061930392341,4.534616073897893,6.132436447569246,3.8036026928007454,0.4878600156682767,0.9375544047950735,2.12845365089158,1.0177219967927873,0.435001770669901
A1_narrow_a1.0_e0.3,8,10,0.990803480452003,0.16594365842673808,5.370569283275601,4.511838302877296,6.223505893734106,3.8980871882479406,0.4323598595940039,0.9313628037344832,2.411753948776627,1.773515303953376,0.4644110322736713
A1_narrow_a1.5_e0.05,8,10,1.5004004008771936,0.028458271150889437,4.647351690908711,3.9841807895857326,5.263712889099478,3.2859658376230207,0.49948948530153947,0.9654864436564653,2.118585695040154,0.8408400074605389,0.42716445207416226
A1_narrow_a1.5_e0.15,8,10,1.495097968379633,0.08553246832105232,4.895656342387969,4.252211236180713,5.523705594436429,3.4275079952457133,0.5220872802331464,0.9586559950614664,2.0068007970778394,0.8714454375588598,0.4017261062967992
A1_narrow_a1.5_e0.3,8,10,1.4665661232664842,0.1753456091266003,4.037076115701044,3.2796496685620977,4.8819974646137005,2.9243339587040484,0.5385582534248684,0.9710313034214785,1.8962975910433317,1.1820946643309707,0.4335265448241558
A2_bimodal_0.3_2.0_p0.25,8,10,0.7646666666666667,0.7315187482596285,3.892847745987904,3.3615122689059302,4.574751723359486,2.8220048722109317,0.5091640186482496,0.9767472110418242,1.998817701546439,1.588122834161172,0.5268199546821002
A2_bimodal_0.3_2.0_p0.5,8,10,1.1500000000000001,0.807245365416714,3.3645995914995757,2.9809420348672813,3.7255649665016626,2.5464168786301835,0.5121294350876956,0.9905961597190466,1.9549451039338464,1.7266609797943206,0.5006327310983198
A2_bimodal_0.3_2.0_p0.75,8,10,1.614666666666667,0.6725136340739511,3.7249879252193785,2.9374031705565256,4.585952506718877,2.9351260795187715,0.4835075243120996,0.9716847511341346,2.1447033831311795,1.3620582495210916,0.48576888049757494
A2_bimodal_0.5_1.5_p0.25,8,10,0.78,0.43796857643246334,5.962442338431243,5.061421559781179,6.7653642786007255,4.481123288977335,0.417437205216486,0.9048787897695755,2.5689225180985074,1.6878104759310528,0.5022764236610952
A2_bimodal_0.5_1.5_p0.5,8,10,1.0,0.4906941145101265,4.6660363409658085,3.975655936562919,5.555069248818029,3.403763064178617,0.5082056130213297,0.9541935438908874,2.042828430817612,1.5314234980387365,0.4498076869586628
A2_bimodal_0.5_1.5_p0.75,8,10,1.2533333333333334,0.4017265479753795,5.16546006651113,4.457193411788934,5.830253880601757,3.868895568249113,0.4563019053737424,0.9446931823734086,2.3504419853731,1.0548230485906285,0.4752530856463322
A3_baseline_U0.3_2.0,8,10,1.1980248734177166,0.44226868639919703,4.366556574590139,3.539336760495392,5.206234311490636,3.1642108179421853,0.4907809307167388,0.9664107397147192,2.058319839720974,1.5334122768652387,0.49809236159688186
A4_loguniform,8,10,0.9226744262130309,0.5776311599968733,6.3627034294280405,5.715616748253151,7.066338481665319,4.937126396537676,0.3641640812443306,0.894370495874063,2.8470726796596724,1.3396015174973948,0.4979170237147845
A4_wide_U0.2_2.5,8,10,1.3974118402582738,0.6432836979112416,3.9059108906683897,3.213899002650195,4.602783886980992,2.868574072348001,0.5370821284772791,0.9710818957230989,1.8820367366989779,1.4340995354397557,0.4765947156177962
A0_degenerate_a0.5,16,10,0.5,0.0,6.79113853722999,5.455524263607677,7.956540239639897,4.981319768167636,0.40336370287175133,0.8756241891000085,2.620076816661533,0.9261676589281356,0.46317119752476366
A0_degenerate_a1.0,16,10,1.0,0.0,6.057108882355247,4.937337841013329,7.170144667964835,4.3867219253853245,0.4574984845409916,0.9099561814381932,2.3259042270901786,0.7726260078123206,0.43440463556276765
A0_degenerate_a1.5,16,10,1.5,0.0,5.047551889041291,4.18745036446897,5.969170370821092,3.4897542283351775,0.5396927764656485,0.9436523202037517,1.9909099875449567,0.6207892573999205,0.40953981680697626
A1_narrow_a0.5_e0.05,16,10,0.4996912778110672,0.02825155461885333,7.087694010105655,5.778925384911446,8.152958677896844,5.499688950673539,0.34214143105756667,0.860904725238415,3.0780047731995204,0.8779943943016122,0.48065382951299335
A1_narrow_a0.5_e0.15,16,10,0.5060563579580463,0.080097335553581,7.354357163551242,5.956501931399627,8.47291283337126,5.623004821928473,0.36464397493690565,0.8456562333870542,2.9592894400848206,0.7914336487852003,0.465923827426435
A1_narrow_a0.5_e0.3,16,10,0.47851375430974147,0.16558273663864526,7.0675393590001505,6.287570079788038,7.867179605295341,5.2801763773369395,0.3637294079868897,0.8680163550879962,2.8765497335572823,0.907277878958092,0.5058197549720034
A1_narrow_a1.0_e0.05,16,10,1.002894445420415,0.02845323848024936,6.254293704124875,5.169468377235961,7.280885079675707,4.512012403212218,0.44580881337467587,0.9020346544482267,2.3989975735738107,0.7247787915523236,0.4343669125597338
A1_narrow_a1.0_e0.15,16,10,1.0114718826331024,0.08213137409701252,6.138345480321265,5.1748304139225185,7.072639032995223,4.430412286527142,0.4367251132909843,0.9039852767879341,2.441425025222787,0.8731050880342712,0.44710523297243954
A1_narrow_a1.0_e0.3,16,10,0.990803480452003,0.16594365842673808,5.361880579012191,4.36983931378538,6.315361746914512,3.701479513938851,0.5114158308100463,0.9315580264248942,2.0115084179851257,1.185385488859552,0.4051651934774121
A1_narrow_a1.5_e0.05,16,10,1.5004004008771936,0.028458271150889437,4.8451201877167005,4.196529240998524,5.649196960430768,3.2818516364980432,0.5486567359532797,0.9527253483714055,1.9244134000521345,0.6295940387037494,0.4129107711572494
