m,policy,terminal_over_E0,ci_lo,ci_hi,evaluations,true_terminal_regret,profile_rank,profile_percentile
8,uniform,0.9248722593232788,0.8677537369464209,0.9770997144640959,6.0,0.6355283726209903,119048.0,50.58381630606591
8,local_greedy,0.7672993534794486,0.7144394646454975,0.8166273941221593,6.0,0.35300873036958935,37591.2,15.972602274079236
8,measured_first_order,0.7923358825069637,0.7273575537048184,0.8494035031626596,60.0,0.22977077418488814,24148.0,10.26055033397352
8,full_pairwise,0.8122993448022218,0.7548294024848923,0.8619792704938621,228.0,0.3866811729396273,40073.2,17.02721076873396
8,lowrank_pairwise_q4,0.8161252122944189,0.7656591122934755,0.8623655880451109,228.0,0.38041820919347674,38913.2,16.534323639886463
8,step_greedy,0.812170071480093,0.7549064731580223,0.8611277593816222,342.0,0.3866811729396273,40073.2,17.02721076873396
14,uniform,1.1009643806829605,0.994767542452224,1.2595281569902497,6.0,,,
14,local_greedy,0.9974003452452553,0.9260943409025623,1.0588719682407426,6.0,,,
14,measured_first_order,0.8683943060039059,0.8264792144892035,0.9030521482284886,96.0,,,
14,full_pairwise,0.8628536911825796,0.815491853223725,0.9047281755387733,642.0,,,
14,lowrank_pairwise_q4,0.8610509016908253,0.8143018441603878,0.902055475106135,642.0,,,
14,step_greedy,0.865622102644387,0.8205391750674768,0.9050675875805246,2190.0,,,
23,uniform,0.9950734094129515,0.9780084926014287,1.0162153609202897,6.0,,,
23,local_greedy,1.0207132241058132,0.9940012019307545,1.0570836655367928,6.0,,,
23,measured_first_order,0.8551310906561941,0.7440102269090557,0.9291416152678729,150.0,,,
23,full_pairwise,0.841795949450915,0.7329256408758026,0.9192793381562319,1668.0,,,
23,lowrank_pairwise_q4,0.8420198968985524,0.733217061692569,0.9199585885907691,1668.0,,,
23,step_greedy,0.8256179256318366,0.7155982746893526,0.9086680786170945,3606.0,,,
31,uniform,1.0009900695734946,0.9948676097364987,1.0084609470725807,6.0,,,
31,local_greedy,1.01181491217156,0.9954227027005061,1.0366983904137173,6.0,,,
31,measured_first_order,0.9614740976732492,0.9419788567777172,0.9772044784374364,198.0,,,
31,full_pairwise,0.9525386922807687,0.9315519065441248,0.9714296301555407,2988.0,,,
31,lowrank_pairwise_q4,0.9532963885358579,0.9322891633875958,0.9724946237049652,2988.0,,,
31,step_greedy,0.9520119262389738,0.9312603881921763,0.970680155861853,3606.0,,,
