surrogate,r2,spearman,kendall,top1,top3,top5,regret,sign_agree,frac_pred_negative,frac_true_negative,spearman_vs_terminal,spearman_ci
A scalar/Frobenius,-2.3571564967906915e+23,0.1874094326725906,0.11861471861471862,0.0,0.06666666666666667,0.12000000000000001,0.4023048740210937,0.33214285714285713,0.9761904761904762,0.35357142857142854,0.15964456596035545,"[0.02742560947824107, 0.34269252677147405]"
B restricted (M24),-14721433490.744246,0.1024971519708362,0.060519480519480515,0.0,0.02222222222222222,0.05333333333333334,0.4254138945593145,0.3571428571428571,0.9892857142857142,0.35357142857142854,0.14658920027341082,"[-0.07707940305308726, 0.27654716336295276]"
G Gram-aware (M25),-13303998940.970854,0.10838004101161997,0.058095238095238096,0.0,0.02222222222222222,0.08000000000000002,0.47970017694535194,0.3535714285714286,0.9857142857142858,0.35357142857142854,0.17875598086124403,"[-0.052427660059239, 0.2755726817042607]"
