full_mask_projected_error,internal_nodes,main_effect,node_index,shapley_projected,topology,tree_hash
0.03910300627829011,5,0.0,4,0.004825613818551417,balanced,73a962c3fd59328c00a611de636ef5303eceb2f3922424c0e5bc180e646f1fcf
0.009850375627355468,5,0.0,0,0.0049500625625777065,two_branch,d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661
0.009850375627355468,5,0.0,1,0.0049500625625777065,two_branch,d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661
0.009850375627355468,5,0.0,2,-1.6583165933333385e-05,two_branch,d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661
0.009850375627355468,5,0.0,3,-1.658316593330563e-05,two_branch,d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661
0.009850375627355468,5,0.0,4,-1.658316593330563e-05,two_branch,d01c2bac997a3cb596bfb3017a2ed7f6be667e0ed46e53f5213339cec69b6661
0.14553099999999985,6,0.0,0,0.02425516666666664,comb,f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2
0.14553099999999985,6,0.0,1,0.02425516666666664,comb,f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2
0.14553099999999985,6,0.0,2,0.02425516666666664,comb,f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2
0.14553099999999985,6,0.0,3,0.02425516666666664,comb,f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2
0.14553099999999985,6,0.0,4,0.02425516666666664,comb,f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2
0.14553099999999985,6,0.0,5,0.02425516666666664,comb,f6a6965840bb2c56b8909c5c7904f2fb283f27f07bf9c8fec527718f6b661fd2
0.038906999999999914,6,0.0,0,0.009784541708385124,balanced,cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4
0.038906999999999914,6,0.0,1,0.009784541708385124,balanced,cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4
0.038906999999999914,6,0.0,2,0.009784541708385124,balanced,cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4
0.038906999999999914,6,0.0,3,-6.578391928606097e-05,balanced,cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4
0.038906999999999914,6,0.0,4,0.004809579397065301,balanced,cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4
0.038906999999999914,6,0.0,5,0.004809579397065301,balanced,cbbdb5f1f5dee2b1c8dae3d22a8b7f36a4a67fd046f00887dfbf359c2e232ef4
0.019503000000000048,6,0.0,0,0.004892220937945213,two_branch,bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da
0.019503000000000048,6,0.0,1,0.004892220937945213,two_branch,bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da
0.019503000000000048,6,0.0,2,-3.294187589040209e-05,two_branch,bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da
0.019503000000000048,6,0.0,3,0.004892220937945213,two_branch,bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da
0.019503000000000048,6,0.0,4,0.004892220937945213,two_branch,bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da
0.019503000000000048,6,0.0,5,-3.294187589040209e-05,two_branch,bc16e670610c02f923048cdb4f36e6d6e347f0acd73ea07b29f99ec6501639da
0.2013486427352067,7,0.0,0,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.2013486427352067,7,0.0,1,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.2013486427352067,7,0.0,2,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.2013486427352067,7,0.0,3,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.2013486427352067,7,0.0,4,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.2013486427352067,7,0.0,5,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.2013486427352067,7,0.0,6,0.028764091819315253,comb,450341b92fc9ae28541c07ed1a198239a4d8b01f1b2720960d86e07709df377b
0.03871197621550726,7,0.0,0,0.009751946661903333,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,1,0.009751946661903333,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,2,0.009751946661903333,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,3,-6.55369223722269e-05,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,4,0.004793605037270845,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,5,0.004793605037270845,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,6,-6.553692237219546e-05,balanced,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,0,0.009751946661903333,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,1,0.009751946661903333,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,2,0.009751946661903333,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,3,-6.55369223722269e-05,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,4,0.004793605037270845,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,5,0.004793605037270845,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.03871197621550726,7,0.0,6,-6.553692237219546e-05,two_branch,97c485672e6dd0fea2b6f71425954af87510834058f20e4ea67add6724d1fad9
0.2648507299999998,8,0.0,0,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.2648507299999998,8,0.0,1,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.2648507299999998,8,0.0,2,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
0.2648507299999998,8,0.0,3,0.03310634124999999,comb,9588bc22dc001b2809f58d2acb767675a6db6407ec6095da7dfae50169e1b1e7
