key,cy_score,top10,origins,year,title,authors,venue,doi,arxiv,openalex,abstract
10.1093/ajcn/75.3.453,1,True,kw:openalex:CY4,2002,Body-composition assessment via air-displacement plethysmography in adults and children: a review,David A. Fields; Michael I. Goran; Megan A. McCrory,American Journal of Clinical Nutrition,10.1093/ajcn/75.3.453,,https://openalex.org/W1957255860,
10.1007/s00006-019-0959-y,1,False,kw:openalex:CY3,2019,Boolean Combination of Circular Arcs using Orthogonal Spheres,Leo Dorst,Advances in Applied Clifford Algebras,10.1007/s00006-019-0959-y,,https://openalex.org/W2941745874,"An orthogonal sphere representation of arcs on spatial circles can be used to compactly perform Boolean combinations of such arcs. We formulate this using conformal geometric algebra, of which the oriented nature allows both minor and major arcs to be treated. Easily computable quantities discriminate the cases of relative positions. An application in the first stages of a problem in Discretizable Molecular Distance Geometry is included. We give a suggestion on how to extend this characterization by orthogonal spheres to the manifolds of arcs in the subsequent stages, using probabilistic eigenspheres of the distributions."
10.1038/s41598-017-17648-9,1,False,kw:openalex:CY3,2017,CO2 Mineralization and Utilization using Steel Slag for Establishing a Waste-to-Resource Supply Chain,Shu-Yuan Pan; Tai-Chun Chung; Chang-Ching Ho; Chin-Jen Hou; Yi‐Hung Chen; Pen‐Chi Chiang,Scientific Reports,10.1038/s41598-017-17648-9,,https://openalex.org/W2775687667,"Abstract Both steelmaking via an electric arc furnace and manufacturing of portland cement are energy-intensive and resource-exploiting processes, with great amounts of carbon dioxide (CO 2 ) emission and alkaline solid waste generation. In fact, most CO 2 capture and storage technologies are currently too expensive to be widely applied in industries. Moreover, proper stabilization prior to utilization of electric arc furnace slag are still challenging due to its high alkalinity, heavy metal leaching potentials and volume instability. Here we deploy an integrated approach to mineralizing flue gas CO 2 using electric arc furnace slag while utilizing the reacted product as supplementary cementitious materials to establish a waste-to-resource supply chain toward a circular economy. We found that the flue gas CO 2 was rapidly mineralized into calcite precipitates using electric arc furnace slag. The carbonated slag can be successfully utilized as green construction materials in blended cement mortar. By this modulus, the global CO 2 reduction potential using iron and steel slags was estimated to be ~138 million tons per year."
10.5566/ias.v26.p83-92,1,True,kw:openalex:CY2,2011,COMPUTATION OF MINKOWSKI MEASURES ON 2D AND 3D BINARY IMAGES,David Legland; Kiên Kiêu; Marie‐Françoise Devaux,Image Analysis & Stereology,10.5566/ias.v26.p83-92,,https://openalex.org/W2068131454,"Minkowski functionals encompass standard geometric parameters such as volume, area, length and the Euler-Poincaré characteristic. Software tools for computing approximations of Minkowski functionals on binary 2D or 3D images are now available based on mathematical methods due to Serra, Lang and Ohser. Minkowski functionals can not be used to describe spatial heterogeneity of structures. This description can be performed by using Minkowski measures, which are local versions of Minkowski functionals. In this paper, we discuss how to extend the computation of Minkowski functionals to the computation of Minkowski measures. Approximations of Minkowski measures are computed using fltering and look-up table transformations. The final result is represented as a grey-level image. Approximation errors are investigated based on numerical examples. Convergence and non convergence of the measure approximations are discussed. The measure of surface area is used to describe spatial heterogeneity of a synthetic structure, and of an image of tomato pericarp."
10.2140/apde.2013.6.1601,1,False,kw:openalex:CY1,2013,Carleman estimates for anisotropic elliptic operators with jumps at an interface,Jérôme Le Rousseau; Nicolás Lerner,Analysis & PDE,10.2140/apde.2013.6.1601,,https://openalex.org/W2764001381,We consider a second-order self-adjoint elliptic operator with an anisotropic diffusion matrix having a jump across a smooth hypersurface.We prove the existence of a weight function such that a Carleman estimate holds true.We also prove that the conditions imposed on the weight function are sharp.1. Introduction 1601 2. Framework 1611 3. Estimates for first-order factors 1617 4. Proof of the Carleman estimate 1623 5. Necessity of the geometric assumption on the weight function 1634 Appendix 1637 References 1645The authors wish to thank E. Fernández-Cara for bringing to their attention the importance of Carleman estimates for anisotropic elliptic operators towards applications to biological tissues.Le
10.1109/cdc51059.2022.9993357,1,False,fwd:HRY20;fwd:RHY22,2022,Circuit Model Reduction with Scaled Relative Graphs,Thomas Chaffey; Alberto Padoan,2022 IEEE 61st Conference on Decision and Control (CDC),10.1109/cdc51059.2022.9993357,,W4315489145,"Continued fractions are classical representations of complex objects (for example, real numbers) as sums and inverses of simpler objects (for example, integers). The analogy in linear circuit theory is a chain of series/parallel one-ports: the port behavior is a continued fraction containing the port behaviors of its elements. Truncating a continued fraction is a classical method of approximation, which corresponds to deleting the circuit elements furthest from the port. We apply this idea to chains of series/parallel one-ports composed of arbitrary nonlinear relations. This gives a model reduction method which automatically preserves properties such as incremental positivity. The Scaled Relative Graph (SRG) gives a graphical representation of the original and truncated port behaviors. The difference of these SRGs gives a bound on the approximation error, which is shown to be competitive with existing methods."
10.11650/twjm/1500406291,1,False,kw:openalex:CY3,2011,Classification of Ruled Surfaces with Pointwise 1-Type Gauss Map in Minkowski 3-Space,Miekyung Choi; Young Ho Kim; Dae Won Yoon,Taiwanese Journal of Mathematics,10.11650/twjm/1500406291,,https://openalex.org/W1660804291,"We study the ruled surfaces in Minkowski 3-space with pointwise 1-type Gauss map. As a result, we introduce some new examples of the ruled surfaces with pointwise 1-type Gauss map in Minkowski 3-space."
10.1007/s00022-019-0502-2,1,True,kw:openalex:CY3,2019,Complex Disk Products and Cartesian Ovals,Florian Bünger; Siegfried M. Rump,Journal of Geometry,10.1007/s00022-019-0502-2,,https://openalex.org/W2969601075,
10.1051/0004-6361/201322446,1,True,kw:openalex:CY3,2013,Complex organic molecules in protoplanetary disks,Catherine Walsh; T. J. Millar; Hideko Nomura; Eric Herbst; Susanna L. Widicus Weaver; Yuri Aikawa,Astronomy and Astrophysics,10.1051/0004-6361/201322446,,https://openalex.org/W2028938532,"Context. Protoplanetary disks are vital objects in star and planet formation, possessing all the material, gas and dust, which may form a planetary system orbiting the new star. Small, simple molecules have traditionally been detected in protoplanetary disks; however, in the ALMA era, we expect the molecular inventory of protoplanetary disks to significantly increase."
10.1007/s10898-021-01057-4,1,True,fwd:CY15;fwd:OY02;kw:openalex:CY1;kw:openalex:CY4,2021,Conical averagedness and convergence analysis of fixed point algorithms,Sedi Bartz; Minh N. Dao; Hung M. Phan,Journal of Global Optimization,10.1007/s10898-021-01057-4,1910.14185,W2982400852,
10.1007/978-3-030-34413-9_23,1,True,kw:openalex:CY1,2020,Convergence Analysis of Iterative Algorithms for Phase Retrieval,D. Lüke; Anna-Lena Martins,Topics in applied physics,10.1007/978-3-030-34413-9_23,,https://openalex.org/W3034276085,"Abstract This chapter surveys the analysis of the phase retrieval problem as an inconsistent and nonconvex feasibility problem. We apply a convergence framework for iterative mappings developed by Luke, Tam and Thao in 2018 to the inconsistent and nonconvex phase retrieval problem and establish the convergence properties (with rates) of popular projection methods for this problem. Although our main purpose is to illustrate the convergence results and their underlying concepts, we demonstrate how our theoretical analysis aligns with practical numerical computation applied to laboratory data."
10.1137/151003076,1,True,fwd:OY02;kw:openalex:CY1,2015,Convergence Rate Analysis of Primal-Dual Splitting Schemes,Damek Davis,SIAM Journal on Optimization,10.1137/151003076,1408.4419,W1768854696,"Primal-dual splitting schemes are a class of powerful algorithms that solve complicated monotone inclusions and convex optimization problems that are built from many simpler pieces. They decompose problems that are built from sums, linear compositions, and infimal convolutions of simple functions so that each simple term is processed individually via proximal mappings, gradient mappings, and multiplications by the linear maps. This leads to easily implementable and highly parallelizable or distributed algorithms, which often obtain nearly state-of-the-art performance. In this paper, we analyze a monotone inclusion problem that captures a large class of primal-dual splittings as a special case. We introduce a unifying scheme and use some abstract analysis of the algorithm to prove convergence rates of the proximal point algorithm, forward-backward splitting, Peaceman--Rachford splitting, and forward-backward-forward splitting applied to the model problem. Our ergodic convergence rates are deduced under variable metrics, stepsizes, and relaxation parameters. Our nonergodic convergence rates are the first shown in the literature. Finally, we apply our results to a large class of primal-dual algorithms that are a special case of our scheme and deduce their convergence rates."
10.1080/02331934.2025.2544700,1,False,fwd:OY02;fwd:RHY22,2025,Convergence analyses of Davis–Yin splitting via scaled relative graphs II: convex optimization problems,Soheun Yi; Ernest K. Ryu,Optimization,10.1080/02331934.2025.2544700,,W4413169546,"The prior work of [SIAM J. Optim., 2025] used scaled relative graphs (SRG) to analyze the convergence of Davis–Yin splitting (DYS) iterations on monotone inclusion problems. In this work, we use this machinery to analyze DYS iterations on convex optimization problems and obtain state-of-the-art linear convergence rates."
10.48550/arxiv.1908.11029,1,False,fwd:CY15,2019,Convergence analysis of an inexact inertial Krasnoselskii-Mann algorithm with applications,"Fuying Cui; Yang Yang; Yuchao Tang; Zhu, Chuanxi",arXiv (Cornell University),10.48550/arxiv.1908.11029,1908.11029,W2970743025,"The classical Krasnoselskii-Mann iteration is broadly used for approximating fixed points of nonexpansive operators. To accelerate the convergence of the Krasnoselskii-Mann iteration, the inertial methods were received much attention in recent years. In this paper, we propose an inexact inertial Krasnoselskii-Mann algorithm. In comparison with the original inertial Krasnoselskii-Mann algorithm, our algorithm allows error for updating the iterative sequence, which makes it more flexible and useful in practice. We establish weak convergence results for the proposed algorithm under different conditions on parameters and error terms. Furthermore, we provide a nonasymptotic convergence rate for the proposed algorithm. As applications, we propose and study inexact inertial proximal point algorithm and inexact inertial forward-backward splitting algorithm for solving monotone inclusion problems and the corresponding convex minimization problems."
10.1007/s10107-024-02182-0,1,True,fwd:RHY22;kw:openalex:CY1;kw:openalex:CY4,2025,Convergence of the preconditioned proximal point method and Douglas–Rachford splitting in the absence of monotonicity,Brecht Evens; Pieter Pas; Puya Latafat; Panagiotis Patrinos,Mathematical Programming,10.1007/s10107-024-02182-0,,W4407114761,"The proximal point algorithm (PPA) is the most widely recognized method for solving inclusion problems and serves as the foundation for many numerical algorithms. Despite this popularity, its convergence results have been largely limited to the monotone setting. In this work, we study the convergence of (relaxed) preconditioned PPA for a class of nonmonotone problems that satisfy an oblique weak Minty condition. Additionally, we study the (relaxed) Douglas-Rachford splitting (DRS) method in the nonmonotone setting by establishing a connection between DRS and the preconditioned PPA with a positive semidefinite preconditioner. To better characterize the class of problems covered by our analysis, we introduce the class of semimonotone operators, offering a natural extension to (hypo)monotone and co(hypo)monotone operators, and describe some of their properties. Sufficient conditions for global convergence of DRS involving the sum of two semimonotone operators are provided. Notably, it is shown that DRS converges even when the sum of the involved operators (or of their inverses) is nonmonotone. Various example problems are provided, demonstrating the tightness of our convergence results and highlighting the wide range of applications our theory is able to cover."
10.1007/s10107-015-0964-4,1,False,fwd:OY02,2015,Convergence rates with inexact non-expansive operators,Jingwei Liang; Jalal Fadili; Gabriel Peyré,Mathematical Programming,10.1007/s10107-015-0964-4,1404.4837,W1489128386,"In this paper, we present a convergence rate analysis for the inexact Krasnosel'skii-Mann iteration built from nonexpansive operators. Our results include two main parts: we first establish global pointwise and ergodic iteration-complexity bounds, and then, under a metric subregularity assumption, we establish local linear convergence for the distance of the iterates to the set of fixed points. The obtained iteration-complexity result can be applied to analyze the convergence rate of various monotone operator splitting methods in the literature, including the Forward-Backward, the Generalized Forward-Backward, Douglas-Rachford, alternating direction method of multipliers (ADMM) and Primal-Dual splitting methods. For these methods, we also develop easily verifiable termination criteria for finding an approximate solution, which can be seen as a generalization of the termination criterion for the classical gradient descent method. We finally develop a parallel analysis for the non-stationary Krasnosel'skii-Mann iteration. The usefulness of our results is illustrated by applying them to a large class of structured monotone inclusion and convex optimization problems. Experiments on some large scale inverse problems in signal and image processing problems are shown."
10.1063/1.5128066,1,False,kw:openalex:CY3,2020,Covariant integral quantization of the unit disk,M. A. del Olmo; Jean‐Pierre Gazeau,UVaDOC UVaDOC University of Valladolid Documentary Repository (University of Valladolid),10.1063/1.5128066,,https://openalex.org/W3008433611,"We implement a SU(1, 1) covariant integral quantization of functions on the unit disk. The latter can be viewed as the phase space for the motion of a “massive” test particle on (1+1)-anti-de Sitter space-time, and the relevant unitary irreducible representations of SU(1, 1) corresponding to the quantum version of such motions are found in the discrete series and its lower limit. Our quantization method depends on the choice of a weight function on the phase space in such a way that different weight functions yield different quantizations. For instance, the Perelomov coherent states quantization is derived from a particular choice. Semi-classical portraits or lower symbols of main physically relevant operators are determined, and the statistical meaning of the weight function is discussed."
10.1063/1.5143190,1,True,kw:openalex:CY1,2020,"DFTB+, a software package for efficient approximate density functional theory based atomistic simulations",B. Hourahine; Bálint Aradi; Volker Blüm; Franco P. Bonafé; Alexander Buccheri; Cristopher Camacho,The Journal of Chemical Physics,10.1063/1.5143190,,https://openalex.org/W3013002235,"DFTB+ is a versatile community developed open source software package offering fast and efficient methods for carrying out atomistic quantum mechanical simulations. By implementing various methods approximating density functional theory (DFT), such as the density functional based tight binding (DFTB) and the extended tight binding method, it enables simulations of large systems and long timescales with reasonable accuracy while being considerably faster for typical simulations than the respective ab initio methods. Based on the DFTB framework, it additionally offers approximated versions of various DFT extensions including hybrid functionals, time dependent formalism for treating excited systems, electron transport using non-equilibrium Green's functions, and many more. DFTB+ can be used as a user-friendly standalone application in addition to being embedded into other software packages as a library or acting as a calculation-server accessed by socket communication. We give an overview of the recently developed capabilities of the DFTB+ code, demonstrating with a few use case examples, discuss the strengths and weaknesses of the various features, and also discuss on-going developments and possible future perspectives."
10.36890/iejg.594497,1,True,kw:openalex:CY3,2014,DIFFERENTIAL GEOMETRY OF CURVES AND SURFACES IN LORENTZ-MINKOWSKI SPACE,Rafael López,International Electronic Journal of Geometry,10.36890/iejg.594497,,https://openalex.org/W1615179988,We review part of the classical theory of curves and surfaces in 3-dimensional Lorentz-Minkowski space.We focus in spacelike surfaces with constant mean curvature pointing the differences and similarities with the Euclidean space.
10.1186/1471-2105-13-86,1,True,kw:openalex:CY1,2012,DNA methylation arrays as surrogate measures of cell mixture distribution,E. Andrés Houseman; William P. Accomando; Devin C. Koestler; Brock C. Christensen; Carmen J. Marsit; Heather H. Nelson,BMC Bioinformatics,10.1186/1471-2105-13-86,,https://openalex.org/W2169556367,"BACKGROUND: There has been a long-standing need in biomedical research for a method that quantifies the normally mixed composition of leukocytes beyond what is possible by simple histological or flow cytometric assessments. The latter is restricted by the labile nature of protein epitopes, requirements for cell processing, and timely cell analysis. In a diverse array of diseases and following numerous immune-toxic exposures, leukocyte composition will critically inform the underlying immuno-biology to most chronic medical conditions. Emerging research demonstrates that DNA methylation is responsible for cellular differentiation, and when measured in whole peripheral blood, serves to distinguish cancer cases from controls. RESULTS: Here we present a method, similar to regression calibration, for inferring changes in the distribution of white blood cells between different subpopulations (e.g. cases and controls) using DNA methylation signatures, in combination with a previously obtained external validation set consisting of signatures from purified leukocyte samples. We validate the fundamental idea in a cell mixture reconstruction experiment, then demonstrate our method on DNA methylation data sets from several studies, including data from a Head and Neck Squamous Cell Carcinoma (HNSCC) study and an ovarian cancer study. Our method produces results consistent with prior biological findings, thereby validating the approach. CONCLUSIONS: Our method, in combination with an appropriate external validation set, promises new opportunities for large-scale immunological studies of both disease states and noxious exposures."
10.1016/s0022-0000(03)00025-4,1,True,kw:openalex:CY4,2003,Database-friendly random projections: Johnson-Lindenstrauss with binary coins,Dimitris Achlioptas,Journal of Computer and System Sciences,10.1016/s0022-0000(03)00025-4,,https://openalex.org/W2037757210,
10.1007/s10957-020-01734-6,1,False,kw:openalex:CY1,2020,Demiclosedness Principles for Generalized Nonexpansive Mappings,Sedi Bartz; Rubén Campoy; Hung M. Phan,Journal of Optimization Theory and Applications,10.1007/s10957-020-01734-6,,https://openalex.org/W3022424274,
10.1002/2017gc007280,1,True,kw:openalex:CY3,2017,Derivation and Error Analysis of the Earth Magnetic Anomaly Grid at 2 arc min Resolution Version 3 (EMAG2v3),B. Meyer; Arnaud Chulliat; Richard W. Saltus,Geochemistry Geophysics Geosystems,10.1002/2017gc007280,,https://openalex.org/W2886571572,"Abstract The Earth Magnetic Anomaly Grid at 2 arc min resolution version 3, EMAG2v3, combines marine and airborne trackline observations, satellite data, and magnetic observatory data to map the location, intensity, and extent of lithospheric magnetic anomalies. EMAG2v3 includes over 50 million new data points added to NCEI's Geophysical Database System (GEODAS) in recent years. The new grid relies only on observed data, and does not utilize a priori geologic structure or ocean‐age information. Comparing this grid to other global magnetic anomaly compilations (e.g., EMAG2 and WDMAM), we can see that the inclusion of a priori ocean‐age patterns forces an artificial linear pattern to the grid; the data‐only approach allows for greater complexity in representing the evolution along oceanic spreading ridges and continental margins. EMAG2v3 also makes use of the satellite‐derived lithospheric field model MF7 in order to accurately represent anomalies with wavelengths greater than 300 km and to create smooth grid merging boundaries. The heterogeneous distribution of errors in the observations used in compiling the EMAG2v3 was explored, and is reported in the final distributed grid. This grid is delivered at both 4 km continuous altitude above WGS84, as well as at sea level for all oceanic and coastal regions."
10.1515/zna-2002-1-201,1,False,kw:openalex:CY3,2002,"Disk Instantons, Mirror Symmetry and the Duality Web",Mina Aganagic; Albrecht Klemm; Cumrun Vafa,Zeitschrift für Naturforschung A,10.1515/zna-2002-1-201,,https://openalex.org/W2158535840,"We apply the methods recently developed for computation of type IIA disk instantons using mirror symmetry to a large class of D-branes wrapped over Lagrangian cycles of non-compact Calabi-Yau 3-folds. Along the way we clarify the notion of “flat coordinates” for the boundary theory. We also discover an integer IR ambiguity needed to define the quantum theory of D-branes wrapped over non-compact Lagrangian submanifolds. In the large N dual Chern-Simons theory, this ambiguity is mapped to the UV choice of the framing of the knot. In a type IIB dual description involving (p; q) 5-branes, disk instantons of type IIA get mapped to (p; q) string instantons. The M-theory lift of these results lead to computation of superpotential terms generated by M2 brane instantons wrapped over 3-cycles of certain manifolds of G2 holonomy"
10.1007/jhep08(2021)094,1,True,kw:openalex:CY3,2021,Distributions in CFT. Part II. Minkowski space,Petr Kravchuk; Jiaxin Qiao; Slava Rychkov,Journal of High Energy Physics,10.1007/jhep08(2021)094,,https://openalex.org/W3147049546,"A bstract CFTs in Euclidean signature satisfy well-accepted rules, such as the convergent Euclidean OPE. It is nowadays common to assume that CFT correlators exist and have various properties also in Lorentzian signature. Some of these properties may represent extra assumptions, and it is an open question if they hold for familiar statistical-physics CFTs such as the critical 3d Ising model. Here we consider Wightman 4-point functions of scalar primaries in Lorentzian signature. We derive a minimal set of their properties solely from the Euclidean unitary CFT axioms, without using extra assumptions. We establish all Wightman axioms (temperedness, spectral property, local commutativity, clustering), Lorentzian conformal invariance, and distributional convergence of the s-channel Lorentzian OPE. This is done constructively, by analytically continuing the 4-point functions using the s-channel OPE expansion in the radial cross-ratios ρ , $$ \overline{\rho} $$ ρ ¯ . We prove a key fact that | ρ |, $$ \left|\overline{\rho}\right| $$ ρ ¯ < 1 inside the forward tube, and set bounds on how fast | ρ |, $$ \left|\overline{\rho}\right| $$ ρ ¯ may tend to 1 when approaching the Minkowski space. We also provide a guide to the axiomatic QFT literature for the modern CFT audience. We review the Wightman and Osterwalder-Schrader (OS) axioms for Lorentzian and Euclidean QFTs, and the celebrated OS theorem connecting them. We also review a classic result of Mack about the distributional OPE convergence. Some of the classic arguments turn out useful in our setup. Others fall short of our needs due to Lorentzian assumptions (Mack) or unverifiable Euclidean assumptions (OS theorem)."
10.1038/s41467-019-08564-9,1,False,kw:openalex:CY3,2019,Dyke intrusion between neighbouring arc volcanoes responsible for 2017 pre-eruptive seismic swarm at Agung,F. Albino; Juliet Biggs; Devy Kamil Syahbana,Nature Communications,10.1038/s41467-019-08564-9,,https://openalex.org/W2915043769,"Forecasting explosive eruptions relies on using monitoring data to interpret the patterns and timescales of magma transport and mixing. In September 2017, a distal seismic swarm triggered the evacuation of around 140,000 people from Agung volcano, Bali. From satellite imagery and 3D numerical models, we show that seismicity was associated with a deep, sub-vertical magma intrusion between Agung and its neighbour Batur. This, combined with observations of the 1963 eruption which caused more than thousand fatalities, suggests a vertically and laterally interconnected system experiencing recurring magma mixing. The geometry of the 2017 dyke is consistent with transport from a deep mafic source to a shallow andesitic reservoir controlled by stresses induced by the topographic load, but not the regional tectonics. The ongoing interactions between Agung and Batur have important implications for interpretation of distal seismicity, the links between closely spaced arc volcanoes, and the potential for cascading hazards."
10.1155/2021/6695140,1,True,kw:openalex:CY3,2021,End-of-Life Options for (Bio)degradable Polymers in the Circular Economy,Wanda Sikorska; Marta Musioł; Barbara Zawidlak-Węgrzyńska; Joanna Rydz,Advances in Polymer Technology,10.1155/2021/6695140,,https://openalex.org/W3154674428,"End-of-life options for plastics include recycling and energy recovery (incineration). Taking into account the polymeric waste, recycling is the intentional action that is aimed at reducing the amount of waste deposited in landfills by industrial use of this waste to obtain raw materials and energy. The incineration of waste leads to recovery of the energy only. Recycling methods divide on mechanical (reuse of waste as a full-valuable raw material for further processing), chemical (feedstock recycling), and organic (composting and anaerobic digestion). The type of recycling is selected in terms of the polymeric material, origin of the waste, possible toxicity of the waste, and its flammability. The (bio)degradable polymers show the suitability for every recycling methods. But recycling method should be used in such a form that it is economically justified in a given case. Organic recycling in a circular economy is considered to be the most appropriate technology for the disposal of compostable waste. It is addressed for plastics capable for industrial composting such as cellulose films, starch blends, and polyesters. The biological treatment of organic waste leads also to a decrease of landfills and thereby reducing methane emissions from them. If we add to their biodegradability the absence of toxicity, we have a biotechnological product of great industrial interest. The paper presents the overview on end-of-life options useful for the (bio)degradable polymers. The principles of the circular economy and its today development were also discussed."
10.1007/s10231-017-0666-z,1,False,kw:openalex:CY3,2017,Enneper representation of minimal surfaces in the three-dimensional Lorentz–Minkowski space,Adriana A. Cintra; Irene I. Onnis,Annali di Matematica Pura ed Applicata (1923 -),10.1007/s10231-017-0666-z,,https://openalex.org/W2612688603,
10.1007/s10957-018-1328-z,1,True,kw:openalex:CY1;kw:openalex:CY4,2018,Envelope Functions: Unifications and Further Properties,Pontus Giselsson; Mattias Fält,Journal of Optimization Theory and Applications,10.1007/s10957-018-1328-z,,https://openalex.org/W2605348669,"Forward–backward and Douglas–Rachford splitting are methods for structured nonsmooth optimization. With the aim to use smooth optimization techniques for nonsmooth problems, the forward–backward and Douglas–Rachford envelopes where recently proposed. Under specific problem assumptions, these envelope functions have favorable smoothness and convexity properties and their stationary points coincide with the fixed-points of the underlying algorithm operators. This allows for solving such nonsmooth optimization problems by minimizing the corresponding smooth convex envelope function. In this paper, we present a general envelope function that unifies and generalizes existing ones. We provide properties of the general envelope function that sharpen corresponding known results for the special cases. We also present a new interpretation of the underlying methods as being majorization–minimization algorithms applied to their respective envelope functions."
10.1016/j.cam.2006.11.006,1,False,kw:openalex:CY3,2007,Evaluating the boundary and covering degree of planar Minkowski sums and other geometrical convolutions,Rida T. Farouki; Joel Hass,Journal of Computational and Applied Mathematics,10.1016/j.cam.2006.11.006,,https://openalex.org/W2060797726,
10.48550/arxiv.2201.11413,1,True,kw:openalex:CY1,2022,Exact Optimal Accelerated Complexity for Fixed-Point Iterations,Jisun Park; Ernest K. Ryu,arXiv (Cornell University),10.48550/arxiv.2201.11413,,https://openalex.org/W4221148223,"Despite the broad use of fixed-point iterations throughout applied mathematics, the optimal convergence rate of general fixed-point problems with nonexpansive nonlinear operators has not been established. This work presents an acceleration mechanism for fixed-point iterations with nonexpansive operators, contractive operators, and nonexpansive operators satisfying a Hölder-type growth condition. We then provide matching complexity lower bounds to establish the exact optimality of the acceleration mechanisms in the nonexpansive and contractive setups. Finally, we provide experiments with CT imaging, optimal transport, and decentralized optimization to demonstrate the practical effectiveness of the acceleration mechanism."
10.1109/robot.1987.1088038,1,False,kw:openalex:CY3,2005,Exact robot navigation by means of potential functions: Some topological considerations,Daniel E. Koditschek,,10.1109/robot.1987.1088038,,https://openalex.org/W2125973284,The limits in global navigation capability of potential function based robot control algorithms are explored. Elementary tools of algebraic and differential topology are used to advance arguments suggesting the existence of potential functions over a bounded planar region with arbitrary fixed obstacles possessed of a unique local minimum. A class of such potential functions is constructed for certain cases of a planar disk region with an arbitrary number of smaller disks removed.
10.1051/0004-6361/201322631,1,True,kw:openalex:CY3,2014,Exploring the Milky Way stellar disk,T. Bensby; S. Feltzing; M. S. Oey,Astronomy and Astrophysics,10.1051/0004-6361/201322631,,https://openalex.org/W4292953150,Aims. The aim of this paper is to explore and map the age and abundance structure of the stars in the nearby Galactic disk.
10.1002/wcms.1493,1,True,kw:openalex:CY1;kw:openalex:CY2;kw:openalex:CY4,2020,Extended tight‐binding quantum chemistry methods,Christoph Bannwarth; Eike Caldeweyher; Sebastian Ehlert; Andreas Hansen; Philipp Pracht; Jakob Seibert,Wiley Interdisciplinary Reviews Computational Molecular Science,10.1002/wcms.1493,,https://openalex.org/W3048565185,"Abstract This review covers a family of atomistic, mostly quantum chemistry (QC) based semiempirical methods for the fast and reasonably accurate description of large molecules in gas and condensed phase. The theory is derived from a density functional (DFT) perturbation expansion of the electron density in fluctuation terms to various orders similar to the original density functional tight binding model. The term “eXtended” in their name (xTB) emphasizes the parameter availability for almost the entire periodic table of elements ( Z ≤ 86) and improvements of the underlying theory regarding, for example, the atomic orbital basis set, the level of multipole approximation and the treatment of the important electrostatic and dispersion interactions. A common feature of most members is their consistent parameterization on accurate gas phase theoretical reference data for geometries, vibrational frequencies and noncovalent interactions, which are the primary properties of interest in typical applications to systems composed of up to a few thousand atoms. Further specialized versions were developed for the description of electronic spectra and corresponding response properties. Besides a provided common theoretical background with some important implementation details in the efficient and free xtb program, various benchmarks for structural and thermochemical properties including (transition‐)metal systems are discussed. The review is completed by recent extensions of the model to the force‐field (FF) level as well as its application to solids under periodic boundary conditions. The general applicability together with the excellent cost‐accuracy ratio and the high robustness make the xTB family of methods very attractive for various fields of computer‐aided chemical research. This article is categorized under: Electronic Structure Theory > Ab Initio Electronic Structure Methods Electronic Structure Theory > Semiempirical Electronic Structure Methods Software > Quantum Chem"
10.23919/eusipco47968.2020.9287729,1,False,fwd:CY15,2020,Extrapolation of Bandlimited Multidimensional Signals from Continuous Measurements,Cornelius Frankenbach; Pablo Martínez-Nuevo; Martin Bo Møller; Walter Kellermann,,10.23919/eusipco47968.2020.9287729,2008.00026,W3046439527,"Conventional sampling and interpolation commonly rely on discrete measurements. In this paper, we develop a theoretical framework for extrapolation of signals in higher dimensions from knowledge of the continuous waveform on bounded high-dimensional regions. In particular, we propose an iterative method to reconstruct bandlimited multidimensional signals based on truncated versions of the original signal to bounded regions-herein referred to as continuous measurements. In the proposed method, the reconstruction is performed by iterating on a convex combination of region-limiting and bandlimiting operations. We show that this iteration consists of a firmly nonexpansive operator and prove strong convergence for multidimensional bandlimited signals. In order to improve numerical stability, we introduce a regularized iteration and show its connection to Tikhonov regularization. The method is illustrated numerically for two-dimensional signals."
10.11650/twjm/1500404629,1,True,kw:openalex:CY3,2007,FINITE TYPE RULED SURFACES IN LORENTZ-MINKOWSKI SPACE,Dong-Soo Kim; Young Ho Kim; Dae Won Yoon,Taiwanese Journal of Mathematics,10.11650/twjm/1500404629,,https://openalex.org/W1501480099,"In this article, we study ruled surfaces in a Lorentz-Minkowski space, which has finite type immersion. We give a complete classification of ruled surfaces of finite type immersion into a Lorentz-Minkowski space with arbitrary codimension."
