key,cy_score,top10,origins,year,title,authors,venue,doi,arxiv,openalex,abstract
10.1118/1.4790468,3,False,kw:openalex:CY1,2013,Tight‐frame based iterative image reconstruction for spectral breast CT,Bo Zhao; Hao Gao; Huanjun Ding; Sabee Molloi,Medical Physics,10.1118/1.4790468,,https://openalex.org/W2068780335,"PURPOSE: To investigate tight-frame based iterative reconstruction (TFIR) technique for spectral breast computed tomography (CT) using fewer projections while achieving greater image quality. METHODS: The experimental data were acquired with a fan-beam breast CT system based on a cadmium zinc telluride photon-counting detector. The images were reconstructed with a varying number of projections using the TFIR and filtered backprojection (FBP) techniques. The image quality between these two techniques was evaluated. The image's spatial resolution was evaluated using a high-resolution phantom, and the contrast to noise ratio (CNR) was evaluated using a postmortem breast sample. The postmortem breast samples were decomposed into water, lipid, and protein contents based on images reconstructed from TFIR with 204 projections and FBP with 614 projections. The volumetric fractions of water, lipid, and protein from the image-based measurements in both TFIR and FBP were compared to the chemical analysis. RESULTS: The spatial resolution and CNR were comparable for the images reconstructed by TFIR with 204 projections and FBP with 614 projections. Both reconstruction techniques provided accurate quantification of water, lipid, and protein composition of the breast tissue when compared with data from the reference standard chemical analysis. CONCLUSIONS: Accurate breast tissue decomposition can be done with three fold fewer projection images by the TFIR technique without any reduction in image spatial resolution and CNR. This can result in a two-third reduction of the patient dose in a multislit and multislice spiral CT system in addition to the reduced scanning time in this system."
10.48550/arxiv.2104.11302,2,False,kw:openalex:CY1,2021,$α$-Firmly Nonexpansive Operators on Metric Spaces,Arian Bërdëllima; Florian Lauster; D. Lüke,arXiv (Cornell University),10.48550/arxiv.2104.11302,,https://openalex.org/W4287202809,"We extend to $p$-uniformly convex spaces tools from the analysis of fixed point iterations in linear spaces. This study is restricted to an appropriate generalization of single-valued, pointwise $α$-averaged mappings. Our main contribution is establishing a calculus for these mappings in p-uniformly convex spaces, showing in particular how the property is preserved under compositions and convex combinations. This is of central importance to splitting algorithms that are built by such convex combinations and compositions, and reduces the convergence analysis to simply verifying $α$-firm nonexpansiveness of the individual components at fixed points of the splitting algorithms. Our convergence analysis differs from what can be found in the previous literature in that only $α$-firm nonexpansiveness with respect to fixed points is required. Indeed we show that, if the fixed point mapping is pointwise nonexpansive at all cluster points, then these cluster points are in fact fixed points, and convergence of the sequence follows. Additionally, we provide a quantitative convergence analysis built on the notion of gauge metric subregularity, which we show is necessary for quantifiable convergence estimates. This allows one for the first time to prove convergence of a tremendous variety of splitting algorithms in spaces with curvature bounded from above."
10.1103/physrevd.89.126008,2,False,kw:openalex:CY3,2014,1/N correction in the D3-brane description of a circular Wilson loop at strong coupling,Evgeny I. Buchbinder; A.A. Tseytlin,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",10.1103/physrevd.89.126008,,https://openalex.org/W1973316278,"We compute the one-loop correction to the probe D3-brane action in $Ad{S}_{5}\ifmmode\times\else\texttimes\fi{}{S}^{5}$ expanded around the classical Drukker--Fiol solution ending on a circle at the boundary. It is essentially the logarithm of the one-loop partition function of an Abelian $\mathcal{N}=4$ vector multiplet in $Ad{S}_{2}\ifmmode\times\else\texttimes\fi{}{S}^{2}$ geometry. This one-loop correction should be describing the subleading $1/N$ term in the expectation value of circular Wilson loop in the totally symmetric rank $k$ representation in $SU(N)$ supersymmetric Yang-Mills theory at strong coupling. In the limit $1\ensuremath{\ll}k\ensuremath{\ll}N$ when the circular Wilson loop expectation values for the symmetric representation and for the product of $k$ fundamental representations are expected to match, we find that this one-loop D3-brane correction agrees with the gauge theory result for the $k$-fundamental case."
oa:W2964103805,2,False,fwd:OY02,2014,4 ITERATION-COMPLEXITY OF A GENERALIZED FORWARD BACKWARD SPLITTING ALGORITHM,Jingwei Liang; Jalal Fadili; Cnrs-ensicaen Ceremade,,,,W2964103805,"In this paper, we analyze the iteration-complexity of Generalized Forward-Backward (GFB) splitting algorithm, as proposed in [2], for minimizing a large class of composite objectives on a Hilbert space, where f has a Lipschitz-continuous gradient and the hi's are simple (i.e. their proximity operators are easy to compute). We derive iteration-complexity bounds (pointwise and ergodic) for the inexact version of GFB to obtain an approximate solution based on an easily verifiable termination criterion. Along the way, we prove complexity bounds for relaxed and inexact fixed point iterations built from composition of nonexpansive averaged operators. These results apply more generally to GFB when used to find a zero of a sum of n>0 maximal monotone operators and a co-coercive operator on a Hilbert space. The theoretical findings are exemplified with experiments on video processing."
10.1287/moor.24.3.544,2,True,kw:openalex:CY4,1999,A Sharp Upper Bound for the Expected Number of Shadow Vertices in LP-Polyhedra Under Orthogonal Projection on Two-Dimensional Planes,Karl Heinz Borgwardt,Mathematics of Operations Research,10.1287/moor.24.3.544,,https://openalex.org/W2159658403,"Consider a set {a 1, …, am , u, v} ⊂ ℝ n satisfying a mild nondegeneracy condition. When the polyhedron X = {x ∣ a 1 T x ≤ 1, …, am T x ≤ 1} ⊂ ℝ n is orthogonally projected on the two-dimensional plane lin(u, v), then some of its vertices may be mapped on vertices of the two-dimensional image of X. These vertices of X will be called shadow vertices under that projection. Their number will be denoted by S. This figure S has an outstanding relevance for the complexity of a special Simplex-Method, the dimension-by-dimension method, for solving LPs of the type maximize vTx s.t. a 1 Tx ≤ 1, …, am Tx ≤ 1 where x, v, a 1, …, am ∈ ℝ n and m ≥ n. This method applies the “shadow vertex algorithm” in n − 1 stages of increasing dimension, by constructing a Simplex-Path that visits only shadow vertices. In each stage specific versions of the vectors u and v are used to define the projection plane and to control the application of the “shadow vertex algorithm.” So S delivers an upper bound for the length of such a path in one stage. We want to study the average-case complexity of these algorithms and are therefore interested in Em,n (S), the expected value of S. For that purpose we assume a distribution of the linear programming problems corresponding to the rotation symmetry model (RSM): The vectors a 1, …, am , u, v are distributed on ℝ n \{0} independently, identically and symmetrically under rotations. In this paper we improve the upper bounds for Em,n (S) from our polynomiality-proofs of 1982 and 1987. There we had found an upper bound of m 1/( n −1) · n 3 · Const., valid for all RSM-distributions and all pairs (m ≥ n). Based on a refined evaluation technique for space-angles, on a reorganization and on substantial modifications of the old proof, we are now able to confirm a bound Em,n (S) ≤ m 1/( n −1) · n 2 · Const. for all pairs (m,n) with m ≥ n. This result had been desired since 1982, because then a bound m 1/( n −1) · n 2 · Const. had been derived exclusively for the s"
10.1007/jhep09%282019%29020,2,True,kw:openalex:CY3,2022,A general proof of the quantum null energy condition,Srivatsan Balakrishnan,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),10.1007/jhep09%282019%29020,,https://openalex.org/W3100823004,"We prove a conjectured lower bound on ⟨T_ _(x)⟩ $ψ$ in any state $ψ$ of a CFT on Minkowski space, dubbed the Quantum Null Energy Condition (QNEC). The bound is given by the second order shape deformation, in the null direction, of the geometric entanglement entropy of an entangling cut passing through $x$. Our proof involves a combination of the two independent methods that were used recently to prove the weaker Averaged Null Energy Condition (ANEC). In particular the properties of modular Hamiltonians under shape deformations for the state ψ play an important role, as do causality considerations. We study the two point function of a “probe” operator $\mathcal{O}$ in the state $ψ$ and use a lightcone limit to evaluate this correlator. Instead of causality in time we consider causality on modular time for the modular evolved probe operators, which we constrain using Tomita-Takesaki theory as well as certain generalizations pertaining to the theory of modular inclusions. The QNEC follows from very similar considerations to the derivation of the chaos bound and the causality sum rule. We use a kind of defect Operator Product Expansion to apply the replica trick to these modular flow computations, and the displacement operator plays an important role. We argue that the proof extends to more general relativistic QFT with an interacting UV fixed point and also prove a higher spin version of the QNEC. Our approach was inspired by the AdS/CFT proof of the QNEC which follows from properties of the Ryu-Takayanagi (RT) surface near the boundary of AdS, combined with the requirement of entanglement wedge nesting. Our methods were, as such, designed as a precise probe of the RT surface close to the boundary of a putative gravitational/stringy dual of any QFT with an interacting UV fixed point."
10.48550/arxiv.1604.04845,2,False,fwd:OY02,2016,A stochastic coordinate descent inertial primal-dual algorithm for large-scale composite optimization,Meng Wen; Yuchao Tang; Jigen Peng,arXiv (Cornell University),10.48550/arxiv.1604.04845,1604.04845,W2339849759,"We consider an inertial primal-dual algorithm to compute the minimizations of the sum of two convex functions and the composition of another convex function with a continuous linear operator. With the idea of coordinate descent, we design a stochastic coordinate descent inertial primal-dual splitting algorithm. Moreover, in order to prove the convergence of the proposed inertial algorithm, we formulate first the inertial version of the randomized Krasnosel'skii-Mann iterations algorithm for approximating the set of fixed points of a nonexpansive operator and investigate its convergence properties. Then the convergence of stochastic coordinate descent inertial primal-dual splitting algorithm is derived by applying the inertial version of the randomized Krasnosel'skii-Mann iterations to the composition of the proximity operator."
10.48550/arxiv.1604.04172,2,False,fwd:OY02,2016,A stochastic coordinate descent primal-dual algorithm with dynamic stepsize for large-scale composite optimization,Meng Wen; Shigang Yue; Yuchao Tang; Jigen Peng,arXiv (Cornell University),10.48550/arxiv.1604.04172,1604.04172,W2337736955,"In this paper we consider the problem of finding the minimizations of the sum of two convex functions and the composition of another convex function with a continuous linear operator. With the idea of coordinate descent, we design a stochastic coordinate descent primal-dual splitting algorithm with dynamic stepsize. Based on randomized Modified Krasnosel'skii-Mann iterations and the firmly nonexpansive properties of the proximity operator, we achieve the convergence of the proposed algorithms. Moreover, we give two applications of our method."
10.48550/arxiv.2104.14832,2,False,fwd:CY15,2021,A string averaging method based on strictly quasi-nonexpansive operators with generalized relaxation,Touraj Nikazad; Mahdi Mirzapour,arXiv (Cornell University),10.48550/arxiv.2104.14832,2104.14832,W3157647781,"We study a fixed point iterative method based on generalized relaxation of strictly quasi-nonexpansive operators. The iterative method is assembled by averaging of strings, and each string is composed of finitely many strictly quasi-nonexpansive operators. To evaluate the study, we examine a wide class of iterative methods for solving linear systems of equations (inequalities) and the subgradient projection method for solving nonlinear convex feasibility problems. The mathematical analysis is complemented by some experiments in image reconstruction from projections and classical examples, which illustrate the performance using generalized relaxation."
10.5802/aif.3019,2,False,kw:openalex:CY4,2016,Approximation numbers of composition operators on H p spaces of Dirichlet series,Frédéric Bayart; Hervé Queffélec; Kristian Seip,Annales de l’institut Fourier,10.5802/aif.3019,,https://openalex.org/W2324775405,"By a theorem of the first named author, ϕ generates a bounded composition operator on the Hardy space ℋ p of Dirichlet series ( 1 ≤ p < ∞ ) only if ϕ ( s ) = c 0 s + ψ ( s ) , where c 0 is a nonnegative integer and ψ a Dirichlet series with the following mapping properties: ψ maps the right half-plane into the half-plane Re s > 1 / 2 if c 0 = 0 and is either identically zero or maps the right half-plane into itself if c 0 is positive. It is shown that the n th approximation numbers of bounded composition operators on ℋ p are bounded below by a constant times r n for some 0 < r < 1 when c 0 = 0 and bounded below by a constant times n - A for some A > 0 when c 0 is positive. Both results are best possible. Estimates rely on a combination of soft tools from Banach space theory ( s -numbers, type and cotype of Banach spaces, Weyl inequalities, and Schauder bases) and a certain interpolation method for ℋ 2 , developed in an earlier paper, using estimates of solutions of the ∂ ¯ equation. A transference principle from H p of the unit disc is discussed, leading to explicit examples of compact composition operators on ℋ 1 with approximation numbers decaying at a variety of sub-exponential rates. Finally, a new Littlewood–Paley formula is established, yielding a sufficient condition for a composition operator on ℋ p to be compact."
