execution_id,config_id,seed,stage,commit_sha,configuration_id,dataset_train_sha256,dataset_valid_sha256,dataset_test_sha256,checkpoint_sha256,evaluator_identity,environment_path,out_dir,wall_sec,gpu_peak_mb,status,test_eval_skipped,started_utc
688496ecfa8b4226,A2,1,PILOT,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,4225c037d8025324,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,889e69b38ffa71439af71b280eb0f1a9ce2e61c348e3c55435be3c2917804c38,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\pilot\seed1_A2_pilot_20260805\environment.json,campaigns\gate13\gate13_5\runs\pilot\seed1_A2_pilot_20260805,879.9419901371002,137.767936,COMPLETED,True,2026-08-06T01:46:44Z
48778a1093c74ea9,A3,1,PILOT,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,bb86584fa2a97b82,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,f0ab486fb1287c1ae8e5a0bf0827aeb976e301ac705e9db7707462a488a35551,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\pilot\seed1_A3_pilot_20260805\environment.json,campaigns\gate13\gate13_5\runs\pilot\seed1_A3_pilot_20260805,3592.8607907295227,467.5456,COMPLETED,True,2026-08-06T02:02:48Z
78db52b2dac24f4d,A0,1,MATCHED_WARM_START_CONTROL,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,e6cfbb2384bf89b2,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,52b323bc2ab36c6f294979029b77bb86d5c716d11062ab239afcdeb25b874864,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\pilot\seed1_A0_matched_control_20260806\environment.json,campaigns\gate13\gate13_5\runs\pilot\seed1_A0_matched_control_20260806,501.85897493362427,124.55936,COMPLETED,True,2026-08-06T03:23:38.956339Z
71077436cc804d01,A0,2,PRETRAIN_BASE_SEED2,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,9971ac7cf889e2b3,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,031ac2436c6499fc41af3bd9fdc2009ec3c61e3176ad75095df0c48fc4156435,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed2_A0\environment.json,campaigns\gate13\gate13_5\runs\full\seed2_A0,584.7955145835876,124.55936,COMPLETED,True,2026-08-06T04:14:24.889747Z
787153e119514947,A1,2,SCREENING,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,7f3443840a58804c,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,dc277d8fc08cfe13172781c5e63b8ec6f35f84c0a9997fbc3f747511cdec3698,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed2_A1\environment.json,campaigns\gate13\gate13_5\runs\full\seed2_A1,7110.126202106476,453.492224,COMPLETED,True,2026-08-06T04:26:20.106046Z
720e18f7fb0a419d,A2,2,SCREENING,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,c243f6f17e4150d4,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,63f44923c9aee1a3316f6f1e13a996c7fcc33dfd322677e7257c3f0e8bc6a7e0,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed2_A2\environment.json,campaigns\gate13\gate13_5\runs\full\seed2_A2,1454.3751814365387,137.767936,COMPLETED,True,2026-08-06T04:26:20.106046Z
3b998c7247d14c34,A3,2,SCREENING,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,93513cecaf3e3a9f,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,f94b13e346279f99b689f52bdc9bf469d2e6f5f682e024475381d9f3b4ca5732,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed2_A3\environment.json,campaigns\gate13\gate13_5\runs\full\seed2_A3,7496.959687709808,453.694976,COMPLETED,True,2026-08-06T04:26:20.106046Z
f9fe03afa57a4387,A0,3,PRETRAIN_BASE_SEED3,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,9971ac7cf889e2b3,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,9ab6389a1c8a2bd7b92d83b613b69362cb11db4ae373d7688b1ac8bfcbebcb8a,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed3_A0\environment.json,campaigns\gate13\gate13_5\runs\full\seed3_A0,1053.3182315826416,124.55936,COMPLETED,True,2026-08-06T04:52:01.564998Z
4d9b75c8000345bb,A1,3,SCREENING,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,adeda6437bbb817b,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,6cb5d87c567a6dbd75d1bd1c6a497231d04a930d9ae602606511e5a9e5a982c2,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed3_A1\environment.json,campaigns\gate13\gate13_5\runs\full\seed3_A1,6756.1725471019745,457.707008,COMPLETED,True,2026-08-06T05:11:03.163633Z
0f3996d1bad84505,A2,3,SCREENING,f52f898b8e6e9a7bcf637f8b046107c19b511fb3,480941374d500de6,6e4c2782169af21e9743f3b1d200886f5d595bf6bc504ec1351720949c5cdfae,cf6309010852f6a8d47a45df830a426415d1ee6f7a3970a8376ff1fb81db4a5c,5711cf41623ceb4eacc50eb6108a3ca6565c7492e3caaf82a3e355cc660d1574,30c7a79dbb2d4dc4f06e6674d815ceb53830d1f040cb20c6e6fff28629a5af37,seion_kgr.evaluate.evaluate (blocked filtered evaluator),campaigns\gate13\gate13_5\runs\full\seed3_A2\environment.json,campaigns\gate13\gate13_5\runs\full\seed3_A2,2153.333825111389,137.767936,COMPLETED,True,2026-08-06T05:11:03.120504Z
