config_id,execution_id,epoch,train_loss,valid_mrr,valid_hits1,valid_hits3,valid_hits10,valid_head_mrr,valid_tail_mrr
A0,fd68dd16d9ca4bac,0,1.0349530410000392,,,,,,
A0,fd68dd16d9ca4bac,1,0.9546008941083405,,,,,,
A0,fd68dd16d9ca4bac,2,0.9460185156709127,0.2942044734954834,0.21089249849319458,0.31938979029655457,0.4603649973869324,0.1874282956123352,0.4009806513786316
A0,fd68dd16d9ca4bac,3,0.9410539675612737,,,,,,
A0,fd68dd16d9ca4bac,4,0.9378863895486809,,,,,,
A0,fd68dd16d9ca4bac,5,0.9353272438257406,0.3051433265209198,0.21861989796161652,0.3329911530017853,0.4780724346637726,0.19637061655521393,0.4139160215854645
A0,fd68dd16d9ca4bac,6,0.9332922675097337,,,,,,
A0,fd68dd16d9ca4bac,7,0.9319814189227793,,,,,,
A0,fd68dd16d9ca4bac,8,0.9310010088409402,0.3061372935771942,0.21730823814868927,0.333105206489563,0.4861990213394165,0.19938822090625763,0.412886381149292
A0,fd68dd16d9ca4bac,9,0.9301554915121836,,,,,,
A0,fd68dd16d9ca4bac,10,0.9297754432158287,,,,,,
A0,fd68dd16d9ca4bac,11,0.9288058199040597,0.31018394231796265,0.2211291640996933,0.33897918462753296,0.49090391397476196,0.20008687674999237,0.4202810227870941
A0,fd68dd16d9ca4bac,12,0.928271129210698,,,,,,
A0,fd68dd16d9ca4bac,13,0.9280323121107555,,,,,,
A0,fd68dd16d9ca4bac,14,0.9274397455791482,0.31424611806869507,0.2255489081144333,0.34305673837661743,0.4950384795665741,0.20372480154037476,0.4247674345970154
A1,9a60519a1ff34f57,0,0.8009641025728015,,,,,,
A1,9a60519a1ff34f57,1,0.5384587499647557,,,,,,
A1,9a60519a1ff34f57,2,0.4953679040108574,0.3447277843952179,0.2552609145641327,0.37733104825019836,0.5227259993553162,0.23164404928684235,0.45781153440475464
A1,9a60519a1ff34f57,3,0.4807484755438643,,,,,,
A1,9a60519a1ff34f57,4,0.4695004389251564,,,,,,
A1,9a60519a1ff34f57,5,0.4593913458872969,0.35372063517570496,0.2632734477519989,0.389164537191391,0.5347875952720642,0.23629885911941528,0.47114241123199463
A1,9a60519a1ff34f57,6,0.45004476537163085,,,,,,
A1,9a60519a1ff34f57,7,0.44163216628981533,,,,,,
A1,9a60519a1ff34f57,8,0.4350939391740217,0.35948076844215393,0.270943820476532,0.3940119743347168,0.5380381941795349,0.24086551368236542,0.47809603810310364
A1,9a60519a1ff34f57,9,0.4288379322272744,,,,,,
A1,9a60519a1ff34f57,10,0.42402267924268155,,,,,,
A1,9a60519a1ff34f57,11,0.4180955519805093,0.35904350876808167,0.270972341299057,0.3946392834186554,0.5333048105239868,0.23769453167915344,0.4803925156593323
A1,9a60519a1ff34f57,12,0.4135945658075234,,,,,,
A1,9a60519a1ff34f57,13,0.40933515964375705,,,,,,
A1,9a60519a1ff34f57,14,0.4048800259239892,0.36123332381248474,0.2749643623828888,0.3965497612953186,0.5311092138290405,0.24011661112308502,0.48235002160072327
A2,688496ecfa8b4226,0,0.5765064970084067,,,,,,
A2,688496ecfa8b4226,1,0.5158622208702949,,,,,,
A2,688496ecfa8b4226,2,0.49908425089275704,0.3394264578819275,0.2518676817417145,0.36931851506233215,0.5148559808731079,0.22538341581821442,0.453469455242157
A2,688496ecfa8b4226,3,0.4845436513527965,,,,,,
A2,688496ecfa8b4226,4,0.4723126435235819,,,,,,
A2,688496ecfa8b4226,5,0.4620340335271198,0.34559881687164307,0.2566581070423126,0.3774736225605011,0.5273452997207642,0.22705474495887756,0.46414288878440857
A2,688496ecfa8b4226,6,0.4519649536919638,,,,,,
A2,688496ecfa8b4226,7,0.4421148872576131,,,,,,
A2,688496ecfa8b4226,8,0.43547631699880807,0.351536363363266,0.26301681995391846,0.3843455910682678,0.529255747795105,0.23416420817375183,0.46890848875045776
A2,688496ecfa8b4226,9,0.42852707289469655,,,,,,
A2,688496ecfa8b4226,10,0.42245088936227965,,,,,,
A2,688496ecfa8b4226,11,0.41602022055129706,0.3520469665527344,0.26481324434280396,0.3849444091320038,0.5256629586219788,0.2311004102230072,0.47299352288246155
A2,688496ecfa8b4226,12,0.41100593804929786,,,,,,
A2,688496ecfa8b4226,13,0.4062647563490573,,,,,,
A2,688496ecfa8b4226,14,0.4012312541658901,0.3561996519565582,0.27080124616622925,0.3880239427089691,0.5263758301734924,0.23335453867912292,0.47904476523399353
A3,48778a1093c74ea9,0,0.5754714583817437,,,,,,
A3,48778a1093c74ea9,1,0.5130652636339429,,,,,,
A3,48778a1093c74ea9,2,0.4957700941562784,0.3421936333179474,0.25280866026878357,0.37425148487091064,0.5204163193702698,0.2281954437494278,0.4561918079853058
A3,48778a1093c74ea9,3,0.48127315748371574,,,,,,
A3,48778a1093c74ea9,4,0.4687157795506464,,,,,,
A3,48778a1093c74ea9,5,0.45858109871158725,0.34910017251968384,0.2595950961112976,0.3819788992404938,0.5300541520118713,0.2310909777879715,0.467109352350235
A3,48778a1093c74ea9,6,0.4485565119683102,,,,,,
A3,48778a1093c74ea9,7,0.43917005498566586,,,,,,
A3,48778a1093c74ea9,8,0.43244033170940616,0.3558904230594635,0.26723694801330566,0.38996294140815735,0.5333333611488342,0.23713617026805878,0.4746446907520294
A3,48778a1093c74ea9,9,0.42546409588466155,,,,,,
A3,48778a1093c74ea9,10,0.4197787542411744,,,,,,
