config_id,execution_id,branch,epoch,gate_signed_mean,gate_absolute_mean,branch_gate_max_trajectory,gate_gradient_norm,branch_score_rms,signed_effective_contribution,first_meaningful_activation_epoch,branch_active
A1,9a60519a1ff34f57,gamma_path,2,0.4783271849155426,0.4783271849155426,0.4881623685359955,0.0019150541629642248,6.981500625610352,-3.217571973800659,2,true
A1,9a60519a1ff34f57,gamma_path,5,0.4837581217288971,0.4837581217288971,0.4881623685359955,0.0022499982733279467,9.79801082611084,-4.610352516174316,2,true
A1,9a60519a1ff34f57,gamma_path,8,0.48596125841140747,0.48596125841140747,0.4881623685359955,0.001659613219089806,11.523884773254395,-5.45150899887085,2,true
A1,9a60519a1ff34f57,gamma_path,11,0.48730549216270447,0.48730549216270447,0.4881623685359955,0.0019229239551350474,12.93020248413086,-6.124081611633301,2,true
A1,9a60519a1ff34f57,gamma_path,14,0.4881623685359955,0.4881623685359955,0.4881623685359955,0.002306900219991803,14.126922607421875,-6.702325820922852,2,true
A2,688496ecfa8b4226,eta_seion,2,0.022050753235816956,0.11235155165195465,0.14391875267028809,0.24907496571540833,45.54753112792969,-3.9703335762023926,2,true
A2,688496ecfa8b4226,eta_seion,5,0.024996530264616013,0.12196805328130722,0.14391875267028809,0.25192782282829285,49.02839279174805,-4.115765571594238,2,true
A2,688496ecfa8b4226,eta_seion,8,0.027797356247901917,0.13046114146709442,0.14391875267028809,0.22534282505512238,51.8089485168457,-3.969029664993286,2,true
A2,688496ecfa8b4226,eta_seion,11,0.030364297330379486,0.13767723739147186,0.14391875267028809,0.2585426867008209,55.43539810180664,-4.184248924255371,2,true
A2,688496ecfa8b4226,eta_seion,14,0.03270567208528519,0.14391875267028809,0.14391875267028809,0.2466178834438324,57.50404739379883,-4.043939590454102,2,true
A3,48778a1093c74ea9,gamma_path,2,0.2094012349843979,0.21701547503471375,0.2841474413871765,0.0052621737122535706,1.7510554790496826,0.10421197861433029,2,true
A3,48778a1093c74ea9,gamma_path,5,0.23845648765563965,0.24811014533042908,0.2841474413871765,0.005726912524551153,1.8726904392242432,0.005672718398272991,2,true
A3,48778a1093c74ea9,gamma_path,8,0.25424182415008545,0.26496994495391846,0.2841474413871765,0.006613965146243572,2.053323745727539,-0.0826178640127182,2,true
A3,48778a1093c74ea9,gamma_path,11,0.2657065689563751,0.2770291268825531,0.2841474413871765,0.006695952266454697,2.133993625640869,-0.1617332398891449,2,true
A3,48778a1093c74ea9,gamma_path,14,0.2723456025123596,0.2841474413871765,0.2841474413871765,0.00815706979483366,2.236372470855713,-0.25246137380599976,2,true
A3,48778a1093c74ea9,eta_seion,2,0.0016401824541389942,0.11302701383829117,0.14342549443244934,0.24758686125278473,42.45624923706055,-4.016683578491211,2,true
A3,48778a1093c74ea9,eta_seion,5,0.0022183784749358892,0.12195869535207748,0.14342549443244934,0.24833720922470093,43.611392974853516,-3.922611951828003,2,true
A3,48778a1093c74ea9,eta_seion,8,0.002372234594076872,0.1301356852054596,0.14342549443244934,0.1988665759563446,45.89320373535156,-3.593474864959717,2,true
A3,48778a1093c74ea9,eta_seion,11,0.002277965424582362,0.13733337819576263,0.14342549443244934,0.25701186060905457,48.98383712768555,-3.6905300617218018,2,true
A3,48778a1093c74ea9,eta_seion,14,0.0020413254387676716,0.14342549443244934,0.14342549443244934,0.2349327802658081,49.902217864990234,-3.4980361461639404,2,true
