config_id,execution_id,parameter_count,wall_sec,mean_epoch_sec,peak_vram_mb,path_backend,path_qps_epoch14,mean_frontier_epoch14,gold_reach_rate_epoch14,best_checkpoint_sha256,test_closed,convergence_classification
A0,fd68dd16d9ca4bac,1224052,657.9917161464691,39.02939093095573,124.55936,legacy,,,,2622dfd5cc699f0b71c1e57deb23c929cbfe88bd9c402355d55c35872c079e0d,true,STILL_IMPROVING
A1,9a60519a1ff34f57,1240628,3030.161679506302,202.01077863375345,468.911104,batched,29601.682353265514,171.56640625,0.21484375,bb96473580d6f15fd070b841c0c4b03aa6c2f705e9b4feba7963c83d925b435b,true,STILL_IMPROVING
A2,688496ecfa8b4226,1236340,879.9419901371002,54.98609342678227,137.767936,legacy,,,,889e69b38ffa71439af71b280eb0f1a9ce2e61c348e3c55435be3c2917804c38,true,STILL_IMPROVING
A3,48778a1093c74ea9,1252916,3592.8607907295227,239.5240527153015,467.5456,batched,25600.024414085783,171.56640625,0.21484375,f0ab486fb1287c1ae8e5a0bf0827aeb976e301ac705e9db7707462a488a35551,true,STILL_IMPROVING
