key,screen_tier,score,red_flag,origin,families,sources,via,title,year,authors,venue,doi,arxiv,openalex,zbmath,msc,cited_by,abstract
errortransportationinsvdbasedtensortrainapproximations,T1,10,False,harvest,A,openalex,,ERROR TRANSPORTATION IN SVD-BASED TENSOR-TRAIN APPROXIMATIONS,2026,Yassine Zniyed; Remy Boyer,HAL (Le Centre pour la Communication Scientifique Directe),,,https://openalex.org/W7139529380,,,0,"Tensor Train (TT) decompositions provide an efficient framework for representing and approximating high-dimensional tensors while mitigating the curse of dimensionality. Among the most widely used construction methods are SVD-based algorithms, in particular, the standard TT-SVD and its hierarchical generalization, TT-HSVD, which allows for flexible dimension trees and parallel computation. Despite their practical success, a unified algorithm-level understanding of the approximation error of SVD-like schemes for TT, especially for TT-HSVD on general dimension trees, has been lacking. In this work, we develop a comprehensive error analysis for SVD-like algorithms for TT approximation algorithms by explicitly tracking algorithmic matrices and the transport operators that propagate local truncations to the ambient tensor. We derive exact global error decompositions, establish a priori error bounds, and study quasi-optimality guarantees with respect to the best TT approximation of prescribed ranks. Our analysis shows that non-isometric transport operators on general trees induce data-dependent conditioning factors, while in the standard chain case these factors vanish, yielding sharp Py"
10.1006/jmaa.1997.5202,T1,9,True,harvest+snowball,I,openalex;zbmath,forward:10.1007/BF02551235,"The Rate of Convergence for the Method of Alternating Projections, II",1997,Frank Deutsch; Hein Hundal,Journal of Mathematical Analysis and Applications,10.1006/jmaa.1997.5202,,https://openalex.org/W2052610157,1005662,65J10,85,"[For Part I see \textit{F. Deutsch}, Parametric optimization and approximation, Conf. Oberwolfach 1983, ISNM 72, 96-107 (1985; Zbl 0575.65049).] The authors give a very useful, easily computable error bound for the method of alternating projections. They also show that any error bound, which only depends on the angles between the various subspaces involved, can never be sharp. A counter-example to a conjecture of \textit{S. Kayalar} and \textit{H. L. Weinert} [Math. Control Signals Syst. 1, No. 1, 43-59 (1988; Zbl 0673.65036)] is also given."
10.1016/j.jat.2014.06.002,T1,8,False,harvest+snowball,C;I,openalex;zbmath,forward:10.1007/BF02551235,The rate of linear convergence of the Douglas–Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2014,Heinz H. Bauschke; Yunier Bello-Cruz; T. T. A. Nghia; Hung M. Phan; Xianfu Wang,Journal of Approximation Theory,10.1016/j.jat.2014.06.002,1309.4709,https://openalex.org/W2963899645,6320360,49M27;90C25;49M37;47H05;47H09;65K05;65K10,111,"The paper deals with a convex feasibility problem, namely to find a point in the intersection of two subspaces. The authors completely analyze the Douglas-Rachford splitting algorithm proposed in [\textit{J. Douglas jun.} and \textit{H. H. Rachford jun.}, Trans. Am. Math. Soc. 82, 421--439 (1956; Zbl 0070.35401)] and prove that the method converges strongly to the projection of the starting point onto the intersection. The paper complements a basic convergence result proposed in [\textit{R. Hesse} and \textit{D. R. Luke}, SIAM J. Optim. 23, No. 4, 2397--2419 (2013; Zbl 1288.65094)] in three ways. First, the authors identify the location of the shadow sequence limit and reveal the Douglas-Rachford method as a best approximation algorithm. Further, they quantify the sharp rate of linear convergence being the cosine of the Friedrichs angle between the subspaces. Finally, they carry out the analysis in a general (possibly infinite-dimensional) Hilbert space. The reader will find here various properties of the Friedrichs angle, the Douglas-Rachford splitting operator, and the reflector. The authors also present some geometric results concerning the lines in the plane (to illustrate the "
10.48550/arxiv.2608.16994,T1,8,False,harvest,A,openalex,,Basis-update and Galerkin time integration in canonical matrix-product-state form,2026,Maximilian Fröhlich; Richard M. Milbradt; Martin Eigel; Aaron Sander; Robert Wille; Christian B. Mendl,arXiv (Cornell University),10.48550/arxiv.2608.16994,,https://openalex.org/W7203755620,,,0,"Matrix product state algorithms must enlarge their bond spaces as entanglement grows and compress them to control cost. We formulate basis-update and Galerkin (BUG) time integration as a sequence of canonical MPS sweeps for Hamiltonians represented as matrix product operators. We show when two natural basis updates produce the same trial space and when transporting coefficients between successive bases preserves the represented state. Under these conditions, the existing first-order error bound for uncompressed tree-tensor-network BUG also applies to the alternating-endpoint MPS schedule. We verify the uncompressed implementation against an independent six-site calculation. We then compare BUG with two-site TDVP for 16-site transverse-field Ising and Haldane-Shastry dynamics. At matched timestep and truncation settings, BUG performs fewer local exponential actions and has lower runtime. These settings do not produce equal accuracy. The runtime versus accuracy curves cross for the Ising model and are close for the Haldane-Shastry model. The comparison therefore identifies model-dependent trade-offs rather than a general advantage for either method."
10.1214/aop/1048516531,T1,8,False,harvest,D,openalex,,On extremal distributions and sharp $\bolds{L_p}$-bounds\\ for sums of multilinear forms,2003,Rustam Ibragimov; Шатургун Шарахметов; Víctor Peña,The Annals of Probability,10.1214/aop/1048516531,,https://openalex.org/W2004205467,,,23,"In this paper we present a study of the problem of approximating the expectations of functions of statistics in independent and dependent random variables in terms of the expectations of functions of the component random variables. We present results providing sharp analogues of the Burkholder--Rosenthal inequalities and related estimates for the expectations of functions of sums of dependent nonnegative r.v.'s and conditionally symmetric martingale differences with bounded conditional moments as well as for sums of multilinear forms. Among others, we obtain the following sharp inequalities: $E(\sum_{k=1}^n X_k)^t\le 2 \max (\sum_{k=1}^n EX_k^t, (\sum_{k=1}^n a_k)^t)$ for all nonnegative r.v.'s $X_1, \ldots, X_n$ with $E(X_k\mid X_1, \ldots, X_{k-1})\le a_k$, $EX_k^t<\infty$, $k=1, \ldots, n$, $1#x003C;t#x003C;2$; $E(\sum_{k=1}^n X_k)^t\le E\theta^t(1) \max (\sum_{k=1}^n b_k, (\sum_{k=1}^n a_k^s)^{t/s})$ for all nonnegative r.v.'s $X_1, \ldots, X_n$ with $E(X_k^s\mid X_1, \ldots, X_{k-1})\le a_k^s$, $E(X_k^t\mid X_1, \ldots, X_{k-1})\le b_k$, $k=1, \ldots, n$, $1#x003C;t#x003C;2$, $0#x003C;s\le t-1$ or $t\ge 2$, $0#x003C;s\le 1$, where $\theta(1)$ is a Poisson random variable with "
10.1002/mrm.22365,T1,7,False,harvest,C;D,openalex,,Reconstruction of the orientation distribution function in single‐ and multiple‐shell q‐ball imaging within constant solid angle,2010,Iman Aganj; Christophe Lenglet; Guillermo Sapiro; Essa Yacoub; Kǎmil Uǧurbil; Noam Harel,Magnetic Resonance in Medicine,10.1002/mrm.22365,,https://openalex.org/W2019737946,,,381,"q-Ball imaging is a high-angular-resolution diffusion imaging technique that has been proven very successful in resolving multiple intravoxel fiber orientations in MR images. The standard computation of the orientation distribution function (the probability of diffusion in a given direction) from q-ball data uses linear radial projection, neglecting the change in the volume element along each direction. This results in spherical distributions that are different from the true orientation distribution functions. For instance, they are neither normalized nor as sharp as expected and generally require postprocessing, such as artificial sharpening. In this paper, a new technique is proposed that, by considering the solid angle factor, uses the mathematically correct definition of the orientation distribution function and results in a dimensionless and normalized orientation distribution function expression. Our model is flexible enough so that orientation distribution functions can be estimated either from single q-shell datasets or by exploiting the greater information available from multiple q-shell acquisitions. We show that the latter can be achieved by using a more accurate multiex"
onthetruncatedmultilinearsingularvaluedecomposition,T1,7,False,harvest,A,openalex,,On the truncated multilinear singular value decomposition,2011,Nick Vannieuwenhoven; Raf Vandebril; Karl Meerbergen,Lirias,,,https://openalex.org/W2522330017,,,8,"In this report, we investigate the truncated multilinear singular value decomposition (MLSVD), as presented in [L. De Lathauwer, B. De Moor and J. Vandewalle, a multilinear singular value decomposition, 2000]. The T-MLSVD comprises a Tucker decomposition [L.R. Tucker, some mathematical notes on three-mode factor analysis, 1966] with orthogonal factor matrices. Truncating the MLSVD results in an approximation, with a prescribed multilinear rank, to a tensor. We present a new error expression for an approximate Tucker decomposition with orthogonal factor matrices. From this expression, new insights are obtained which lead us to propose a novel non-iterative algorithm, the sequentially truncated multilinear singular value decomposition (ST-MLSVD). It has several characteristics which make it a suitable replacement for the standard T-MLSVD. In absence of truncation, the ST-MLSVD computes the MLSVD. The approximation error can be characterized exactly in terms of some discarded singular values. Furthermore, the error bound of the T-MLSVD, proposed by De Lathauwer et al., also holds for the ST-MLSVD. The approximation error of the ST-MLSVD is provably better than the T-MLSVD for some ten"
10.1137/21m1415911,T1,7,False,harvest,A,openalex,,Active Learning of Tree Tensor Networks using Optimal Least Squares,2023,Cécile Haberstich; Anthony Nouy; Guillaume Perrin,SIAM/ASA Journal on Uncertainty Quantification,10.1137/21m1415911,,https://openalex.org/W3157892620,,,3,"Abstract. In this paper, we propose new learning algorithms for approximating high-dimensional functions using tree tensor networks in a least-squares setting. Given a dimension tree or architecture of the tensor network, we provide an algorithm that generates a sequence of nested tensor subspaces based on a generalization of principal component analysis for multivariate functions. An optimal least-squares method is used for computing projections onto the generated tensor subspaces, using samples generated from a distribution depending on the previously generated subspaces. We provide an error bound in expectation for the obtained approximation. Practical strategies are proposed for adapting the feature spaces and ranks to achieve a prescribed error. Also, we propose an algorithm that progressively constructs the dimension tree by suitable pairings of variables, that allows further reduction of the number of samples necessary to reach that error. Numerical examples illustrate the performance of the proposed algorithms and show that stable approximations are obtained with a number of samples close to the number of free parameters of the estimated tensor networks."
10.1016/j.jat.2021.105648,T1,7,False,harvest,C,zbmath,,Error bounds for the method of simultaneous projections with infinitely many subspaces,2021,"Reich, Simeon; Zalas, RafaÅ",Journal of Approximation Theory,10.1016/j.jat.2021.105648,2007.10664,,7436514,41A28;41A65,,"Here authors investigate the properties of the simultaneous projection method as applied to countably infinitely many closed and linear subspaces of a real Hilbert space. They establish the optimal error bound for linear convergence of this method, which is expressed in terms of the cosine of the Friedrichs angle computed in an infinite product space. In addition, authors provide estimates and alternative expressions for the above-mentioned number. They also relate this number to the dichotomy theorem and to super-polynomially fast convergence. Polynomial convergence of the simultaneous projection method which takes place for particularly chosen starting points is also discussed."
10.1007/s00025-017-0721-5,T1,7,False,harvest,I,openalex,,Non-optimality of the Greedy Algorithm for Subspace Orderings in the Method of Alternating Projections,2017,O. Darwin; A. Jha; S. Roy; D. Seifert; R. Steele; L. Stigant,Results in Mathematics,10.1007/s00025-017-0721-5,,https://openalex.org/W2694188973,,,1,"The method of alternating projections involves projecting an element of a Hilbert space cyclically onto a collection of closed subspaces. It is known that the resulting sequence always converges in norm and that one can obtain estimates for the rate of convergence in terms of quantities describing the geometric relationship between the subspaces in question, namely their pairwise Friedrichs numbers. We consider the question of how best to order a given collection of subspaces so as to obtain the best estimate on the rate of convergence. We prove, by relating the ordering problem to a variant of the famous Travelling Salesman Problem, that correctness of a natural form of the Greedy Algorithm would imply that $$\mathrm {P}=\mathrm {NP}$$ , before presenting a simple example which shows that, contrary to a claim made in the influential paper (Kayalar and Weinert in Math Control Signals Syst 1(1):43–59, 1988), the result of the Greedy Algorithm is not in general optimal. We go on to establish sharp estimates on the degree to which the result of the Greedy Algorithm can differ from the optimal result. Underlying all of these results is a construction which shows that for any matrix who"
10.1007/s00220-008-0418-4,T2,6,False,harvest,B;D;G,openalex,,Unbounded Violation of Tripartite Bell Inequalities,2008,David Pérez-Garcı́a; Michael M. Wolf; Carlos Palazuelos; Ignacio Villanueva; Marius Junge,Communications in Mathematical Physics,10.1007/s00220-008-0418-4,,https://openalex.org/W2096117628,,,145,"We prove that there are tripartite quantum states (constructed from random unitaries) that can lead to arbitrarily large violations of Bell inequalities for dichotomic observables. As a consequence these states can withstand an arbitrary amount of white noise before they admit a description within a local hidden variable model. This is in sharp contrast with the bipartite case, where all violations are bounded by Grothendieck’s constant. We will discuss the possibility of determining the Hilbert space dimension from the obtained violation and comment on implications for communication complexity theory. Moreover, we show that the violation obtained from generalized Greenberger-Horne-Zeilinger (GHZ) states is always bounded so that, in contrast to many other contexts, GHZ states do not lead to extremal quantum correlations in this case. In order to derive all these physical consequences, we will have to obtain new mathematical results in the theories of operator spaces and tensor norms. In particular, we will prove the existence of bounded but not completely bounded trilinear forms from commutative C*-algebras. Finally, we will relate the existence of diagonal states leading to unbou"
10.3150/21-bej1371,T2,6,False,harvest,A,openalex,,Learning with tree tensor networks: Complexity estimates and model selection,2022,Bertrand Michel; Anthony Nouy,Bernoulli,10.3150/21-bej1371,,https://openalex.org/W3039249709,,,16,"In this paper, we propose and analyze a model selection method for tree tensor networks in an empirical risk minimization framework and analyze its performance over a wide range of smoothness classes. Tree tensor networks, or tree-based tensor formats, are prominent model classes for the approximation of high-dimensional functions in numerical analysis and data science. They correspond to sum-product neural networks with a sparse connectivity associated with a dimension partition tree T, widths given by a tuple r of tensor ranks, and multilinear activation functions (or units). The approximation power of these model classes has been proved to be optimal (or near to optimal) for classical smoothness classes. However, in an empirical risk minimization framework with a limited number of observations, the dimension tree T and ranks r should be selected carefully to balance estimation and approximation errors. In this paper, we propose a complexity-based model selection strategy à la Barron, Birgé, Massart. Given a family of model classes associated with different trees, ranks, tensor product feature spaces and sparsity patterns for sparse tensor networks, a model is selected by minimiz"
10.48550/arxiv.1912.07913,T2,6,False,harvest,A,openalex,,Learning high-dimensional probability distributions using tree tensor networks,2019,Erwan Grelier; Anthony Nouy; Régis Lebrun,arXiv (Cornell University),10.48550/arxiv.1912.07913,,https://openalex.org/W4287992584,,,1,"We consider the problem of the estimation of a high-dimensional probability distribution from i.i.d. samples of the distribution using model classes of functions in tree-based tensor formats, a particular case of tensor networks associated with a dimension partition tree. The distribution is assumed to admit a density with respect to a product measure, possibly discrete for handling the case of discrete random variables. After discussing the representation of classical model classes in tree-based tensor formats, we present learning algorithms based on empirical risk minimization using a $L^2$ contrast. These algorithms exploit the multilinear parametrization of the formats to recast the nonlinear minimization problem into a sequence of empirical risk minimization problems with linear models. A suitable parametrization of the tensor in tree-based tensor format allows to obtain a linear model with orthogonal bases, so that each problem admits an explicit expression of the solution and cross-validation risk estimates. These estimations of the risk enable the model selection, for instance when exploiting sparsity in the coefficients of the representation. A strategy for the adaptation "
10.48550/arxiv.1811.04455,T2,6,False,harvest,A,openalex,,Learning with tree-based tensor formats,2018,Erwan Grelier; Anthony Nouy; Mathilde Chevreuil,arXiv (Cornell University),10.48550/arxiv.1811.04455,,https://openalex.org/W2900176663,,,13,"This paper is concerned with the approximation of high-dimensional functions in a statistical learning setting, by empirical risk minimization over model classes of functions in tree-based tensor format. These are particular classes of rank-structured functions that can be seen as deep neural networks with a sparse architecture related to the tree and multilinear activation functions. For learning in a given model class, we exploit the fact that tree-based tensor formats are multilinear models and recast the problem of risk minimization over a nonlinear set into a succession of learning problems with linear models. Suitable changes of representation yield numerically stable learning problems and allow to exploit sparsity. For high-dimensional problems or when only a small data set is available, the selection of a good model class is a critical issue. For a given tree, the selection of the tuple of tree-based ranks that minimize the risk is a combinatorial problem. Here, we propose a rank adaptation strategy which provides in practice a good convergence of the risk as a function of the model class complexity. Finding a good tree is also a combinatorial problem, which can be related "
10.48550/arxiv.2512.11967,T2,6,False,harvest,A,openalex,,Holographic Representation of One-Dimensional Many-Body Quantum States via Isometric Tensor Networks,2025,Kaito Kobayashi; Benjamin Sappler; Frank Pollmann,arXiv (Cornell University),10.48550/arxiv.2512.11967,,https://openalex.org/W4417447044,,,0,"Tensor network methods, most prominently matrix product states (MPS), have become fundamental tools in modern quantum many-body physics. While MPS and extensions like the multiscale entanglement renormalization ansatz (MERA) and tree tensor networks (TTN) efficiently capture area-law entanglement and its logarithmic violations, they inherently struggle to represent highly entangled wavefunctions. Specifically, reaching the volume-law regime typically demands exponential resources within these conventional frameworks. Motivated by this challenge, we propose holographic isometric tensor network states (holographic isoTNS) that simulate quantum lattice models in $D$ spatial dimensions via $(D+1)$-dimensional networks of tensors. The additional dimension substantially enlarges the representational manifold, while isometric constraints on each tensor ensure efficient contractibility. Using one-dimensional systems as testbeds, we analyze the properties of holographic isoTNS. First, we show that randomly initialized holographic isoTNS typically display volume-law entanglement at fixed bond dimension. Second, through analytic constructions and variational optimization, we demonstrate that "
10.1109/tnnls.2020.2967022,T2,6,False,harvest,B,openalex,,Low-Rank Tensor Train Coefficient Array Estimation for Tensor-on-Tensor Regression,2020,Yipeng Liu; Jiani Liu; Ce Zhu,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2020.2967022,,https://openalex.org/W3006217815,,,54,"The tensor-on-tensor regression can predict a tensor from a tensor, which generalizes most previous multilinear regression approaches, including methods to predict a scalar from a tensor, and a tensor from a scalar. However, the coefficient array could be much higher dimensional due to both high-order predictors and responses in this generalized way. Compared with the current low CANDECOMP/PARAFAC (CP) rank approximation-based method, the low tensor train (TT) approximation can further improve the stability and efficiency of the high or even ultrahigh-dimensional coefficient array estimation. In the proposed low TT rank coefficient array estimation for tensor-on-tensor regression, we adopt a TT rounding procedure to obtain adaptive ranks, instead of selecting ranks by experience. Besides, an l2constraint is imposed to avoid overfitting. The hierarchical alternating least square is used to solve the optimization problem. Numerical experiments on a synthetic data set and two real-life data sets demonstrate that the proposed method outperforms the state-of-the-art methods in terms of prediction accuracy with comparable computational complexity, and the proposed method is more computat"
10.1353/ajm.2001.0035,T2,6,False,harvest,D,openalex,,"Multilinear weighted convolution of L 2 functions, and applications to nonlinear dispersive equations",2001,Terence Tao,American Journal of Mathematics,10.1353/ajm.2001.0035,,https://openalex.org/W2125279937,,,403,"The X s,b spaces, as used by Beals, Bourgain, Kenig-Ponce-Vega, Klainerman-Machedon and others, are fundamental tools to study the low-regularity behavior of nonlinear dispersive equations. It is of particular interest to obtain bilinear or multilinear estimates involving these spaces. By Plancherel's theorem and duality, these estimates reduce to estimating a weighted convolution integral in terms of the L 2 norms of the component functions. In this paper we systematically study weighted convolution estimates on L 2 . As a consequence we obtain sharp bilinear estimates for the KdV, wave, and Schrödinger X s,b spaces."
10.1090/s0894-0347-03-00421-1,T2,6,False,harvest,D,openalex,,Sharp global well-posedness for KdV and modified KdV on ℝ and 𝕋,2003,J. Colliander; M. Keel; Gigliola Staffilani; Hideo Takaoka; Terence Tao,Journal of the American Mathematical Society,10.1090/s0894-0347-03-00421-1,,https://openalex.org/W1612143154,,,563,"The initial value problems for the Korteweg-de Vries (KdV) and modified KdV (mKdV) equations under periodic and decaying boundary conditions are considered. These initial value problems are shown to be globally well-posed in all L 2 L^2 -based Sobolev spaces H s H^s where local well-posedness is presently known, apart from the H 1 4 ( R ) H^{\frac {1}{4}} (\mathbb {R} ) endpoint for mKdV and the H − 3 4 H^{-\frac {3}{4}} endpoint for KdV. The result for KdV relies on a new method for constructing almost conserved quantities using multilinear harmonic analysis and the available local-in-time theory. Miura’s transformation is used to show that global well-posedness of modified KdV is implied by global well-posedness of the standard KdV equation."
10.5802/aif.1125,T2,6,False,harvest,D,openalex,,Two problems of Calderón-Zygmund theory on product-spaces,1988,Jean-Lin Journé,Annales de l’institut Fourier,10.5802/aif.1125,,https://openalex.org/W2030863889,,,73,"R. Fefferman has shown that, on a product-space with two factors, an operator T bounded on L 2 maps L ∞ into BMO of the product if the mean oscillation on a rectangle R of the image of a bounded function supported out of a multiple R’ of R, is dominated by C | R | s | R | - s , for some s > 0 . We show that this result does not extend in general to the case where E has three or more factors but remains true in this case if in addition T is a convolution operator, provided s > s 0 ( E ) . We also show that the Calderon-Coifman bicommutators, obtained from the Calderon commutators by multilinear tensor product, are bounded on L 2 with norms growing polynomially."
10.2307/2155203,T2,6,False,harvest,D,openalex,,"Sharp Inequalities, the Functional Determinant, and the Complementary Series",1995,Thomas Branson,Transactions of the American Mathematical Society,10.2307/2155203,,https://openalex.org/W4234158012,,,62,"Results in the spectral theory of differential operators, and recent results on conformally covariant differential operators and on sharp inequalities, are combined in a study of functional determinants of natural differential operators. The setting is that of compact Riemannian manifolds. We concentrate especially on the conformally flat case, and obtain formulas in dimensions $2$, $4$, and $6$ for the functional determinants of operators which are well behaved under conformal change of metric. The two-dimensional formulas are due to Polyakov, and the four-dimensional formulas to Branson and Ørsted; the method is sufficiently streamlined here that we are able to present the sixdimensional case for the first time. In particular, we solve the extremal problems for the functional determinants of the conformal Laplacian and of the square of the Dirac operator on ${S^2}$, and in the standard conformal classes on ${S^4}$ and ${S^6}$. The ${S^2}$ results are due to Onofri, and the ${S^4}$ results to Branson, Chang, and Yang; the ${S^6}$ results are presented for the first time here. Recent results of Graham, Jenne, Mason, and Sparling on conformally covariant differential operators, and "
10.4171/rmi/665,T2,6,False,harvest,D,openalex,,A multilinear generalisation of the Hilbert transform and fractional integration,2012,Stefán Ingi Valdimarsson,Revista Matemática Iberoamericana,10.4171/rmi/665,,https://openalex.org/W1985393241,,,16,"We study a multilinear analogue of the Hilbert transform. As can be expected, the finiteness of the form depends on cancellation properties in the kernel and care must be taken in the definition of the form. We show how to define the form in terms of distributions and prove L^p bounds for that form. In the second part, we study an analogous form on the level of fractional integration. This has been studied in one form by Drury. We note the L^p bounds for it and find the optimal constant for this bound in the case with the most symmetries. We also determine all functions which are optimisers for this inequality. Finally, we consider analogues of the fractional integration form in directions similar to those of Beckner’s approach for multilinear Hardy– Littlewood–Sobolev inequalities"
10.1088/1367-2630/ab31ef,T2,6,False,snowball,A,openalex-citations,forward:10.1137/090764189,Machine learning by unitary tensor network of hierarchical tree structure,2019,Ding Liu; Shi-Ju Ran; Peter Wittek; Cheng Peng; Raul Blázquez García; Gang Su,New Journal of Physics,10.1088/1367-2630/ab31ef,,https://openalex.org/W2922105745,,,104,"Abstract The resemblance between the methods used in quantum-many body physics and in machine learning has drawn considerable attention. In particular, tensor networks (TNs) and deep learning architectures bear striking similarities to the extent that TNs can be used for machine learning. Previous results used one-dimensional TNs in image recognition, showing limited scalability and flexibilities. In this work, we train two-dimensional hierarchical TNs to solve image recognition problems, using a training algorithm derived from the multi-scale entanglement renormalization ansatz. This approach introduces mathematical connections among quantum many-body physics, quantum information theory, and machine learning. While keeping the TN unitary in the training phase, TN states are defined, which encode classes of images into quantum many-body states. We study the quantum features of the TN states, including quantum entanglement and fidelity. We find these quantities could be properties that characterize the image classes, as well as the machine learning tasks."
10.1103/revmodphys.82.277,T2,6,False,snowball,M,openalex-citations,forward:10.1103/PhysRevB.73.094423,Colloquium : Area laws for the entanglement entropy,2010,Jens Eisert; M. Cramer; Martin B. Plenio,Reviews of Modern Physics,10.1103/revmodphys.82.277,,https://openalex.org/W1922629554,,,2923,"Physical interactions in quantum many-body systems are typically local: Individual constituents interact mainly with their few nearest neighbors. This locality of interactions is inherited by a decay of correlation functions, but also reflected by scaling laws of a quite profound quantity: the entanglement entropy of ground states. This entropy of the reduced state of a subregion often merely grows like the boundary area of the subregion, and not like its volume, in sharp contrast with an expected extensive behavior. Such ``area laws'' for the entanglement entropy and related quantities have received considerable attention in recent years. They emerge in several seemingly unrelated fields, in the context of black hole physics, quantum information science, and quantum many-body physics where they have important implications on the numerical simulation of lattice models. In this Colloquium the current status of area laws in these fields is reviewed. Center stage is taken by rigorous results on lattice models in one and higher spatial dimensions. The differences and similarities between bosonic and fermionic models are stressed, area laws are related to the velocity of information pro"
10.1007/s00211-016-0819-9,T2,6,False,snowball,A,openalex-citations,backward:10.1007/s40324-018-00184-5,On the interconnection between the higher-order singular values of real tensors,2016,Wolfgang Hackbusch; André Uschmajew,Numerische Mathematik,10.1007/s00211-016-0819-9,,https://openalex.org/W2165782098,,,15,"A higher-order tensor allows several possible matricizations (reshapes into matrices). The simultaneous decay of singular values of such matricizations has crucial implications on the low-rank approximability of the tensor via higher-order singular value decomposition. It is therefore an interesting question which simultaneous properties the singular values of different tensor matricizations actually can have, but it has not received the deserved attention so far. In this paper, preliminary investigations in this direction are conducted. While it is clear that the singular values in different matricizations cannot be prescribed completely independent from each other, numerical experiments suggest that sufficiently small, but otherwise arbitrary perturbations preserve feasibility. An alternating projection heuristic is proposed for constructing tensors with prescribed singular values (assuming their feasibility). Regarding the related problem of characterising sets of tensors having the same singular values in specified matricizations, it is noted that orthogonal equivalence under multilinear matrix multiplication is a sufficient condition for two tensors to have the same singular v"
10.1109/ipdps.2016.67,T2,5,False,harvest,A;B,openalex,,Parallel Tensor Compression for Large-Scale Scientific Data,2016,W. W. Austin; Grey Ballard; Tamara G. Kolda,,10.1109/ipdps.2016.67,,https://openalex.org/W1823244711,,,133,"As parallel computing trends towards the exascale, scientific data produced by high-fidelity simulations are growing increasingly massive. For instance, a simulation on a three-dimensional spatial grid with 512 points per dimension that tracks 64 variables per grid point for 128 time steps yields 8 TB of data, assuming double precision. By viewing the data as a dense five-way tensor, we can compute a Tucker decomposition to find inherent low-dimensional multilinear structure, achieving compression ratios of up to 5000 on real-world data sets with negligible loss in accuracy. So that we can operate on such massive data, we present the first-ever distributed-memory parallel implementation for the Tucker decomposition, whose key computations correspond to parallel linear algebra operations, albeit with nonstandard data layouts. Our approach specifies a data distribution for tensors that avoids any tensor data redistribution, either locally or in parallel. We provide accompanying analysis of the computation and communication costs of the algorithms. To demonstrate the compression and accuracy of the method, we apply our approach to real-world data sets from combustion science simulatio"
10.1007/jhep11%282019%29069,T2,5,False,harvest,A;D,openalex,,Beyond toy models: distilling tensor networks in full AdS/CFT,2023,Ning Bao,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),10.1007/jhep11%282019%29069,,https://openalex.org/W3101043594,,,109,"We present a general procedure for constructing tensor networks that accurately reproduce holographic states in conformal field theories (CFTs). Given a state in a large-N CFT with a static, semiclassical gravitational dual, we build a tensor network by an iterative series of approximations that eliminate redundant degrees of freedom and minimize the bond dimensions of the resulting network. We argue that the bond dimensions of the tensor network will match the areas of the corresponding bulk surfaces. For “tree” tensor networks (i.e., those that are constructed by discretizing spacetime with nonintersecting Ryu-Takayanagi surfaces), our arguments can be made rigorous using a version of one-shot entanglement distillation in the CFT. Using the known quantum error correcting properties of AdS/CFT, we show that bulk legs can be added to the tensor networks to create holographic quantum error correcting codes. These codes behave similarly to previous holographic tensor network toy models, but describe actual bulk excitations in continuum AdS/CFT. By assuming some natural generalizations of the “holographic entanglement of purification” conjecture, we are able to construct tensor networ"
10.1007/jhep11(2019)069,T2,5,False,harvest,A;D,openalex,,Beyond toy models: distilling tensor networks in full AdS/CFT,2019,Ning Bao; Geoffrey Penington; Jonathan Sorce; Aron C. Wall,Journal of High Energy Physics,10.1007/jhep11(2019)069,,https://openalex.org/W2903411165,,,95,"A bstract We present a general procedure for constructing tensor networks that accurately reproduce holographic states in conformal field theories (CFTs). Given a state in a large- N CFT with a static, semiclassical gravitational dual, we build a tensor network by an iterative series of approximations that eliminate redundant degrees of freedom and minimize the bond dimensions of the resulting network. We argue that the bond dimensions of the tensor network will match the areas of the corresponding bulk surfaces. For “tree” tensor networks (i.e., those that are constructed by discretizing spacetime with non­ intersecting Ryu-Takayanagi surfaces), our arguments can be made rigorous using a version of one-shot entanglement distillation in the CFT. Using the known quantum error correcting properties of AdS/CFT, we show that bulk legs can be added to the tensor networks to create holographic quantum error correcting codes. These codes behave similarly to previous holographic tensor network toy models, but describe actual bulk excitations in continuum AdS/CFT. By assuming some natural generalizations of the “holographic entanglement of purification” conjecture, we are able to construct "
10.1016/j.crma.2009.11.018,T2,5,False,harvest+snowball,C;I,openalex;zbmath,forward:10.1006/jmaa.1997.5202;forward:10.1007/BF02551235,A generalization of the Friedrichs angle and the method of alternating projections,2009,Cătălin Badea; Sophie Grivaux; Vladimir Müller,Comptes Rendus Mathématique,10.1016/j.crma.2009.11.018,,https://openalex.org/W2037072100,5669093,46C05,18,We present a generalization to an arbitrary number of subspaces of the cosine of the Friedrichs angle between two subspaces of a Hilbert space. This parameter is used to analyze the rate of convergence in the von Neumann–Halperin method of alternating projections.
