key,screen_tier,score,red_flag,origin,families,sources,via,title,year,authors,venue,doi,arxiv,openalex,zbmath,msc,cited_by,abstract
10.1007/978-3-642-66822-7,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Coding Theorems of Information Theory,1978,J. Wolfowitz,,10.1007/978-3-642-66822-7,,https://openalex.org/W1978910765,,,400,
10.1109/tit.1954.1057459,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,A new basic theorem of information theory,1954,Amiel Feinstein,Transactions of the IRE Professional Group on Information Theory,10.1109/tit.1954.1057459,,https://openalex.org/W2123485355,,,255,"""June 1, 1954."" ""This report is identical with a thesis submitted to the Department of Physics, M.I.T., ... for the degree of Doctor of Philosophy."""
10.1109/18.796386,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385;forward:10.1109/18.796385,Strong converse to the quantum channel coding theorem,1999,Tomohiro Ogawa; Hiroshi Nagaoka,IEEE Transactions on Information Theory,10.1109/18.796386,,https://openalex.org/W2115328106,,,184,"A lower bound on the probability of decoding error for a quantum communication channel is presented, from which the strong converse to the quantum channel coding theorem is immediately shown. The results and their derivations are mostly straightforward extensions of the classical counterparts which were established by Arimoto (1973), except that more careful treatment is necessary here due to the noncommutativity of operators."
10.1007/978-3-662-00237-7,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Coding Theorems of Information Theory,1964,J. Wolfowitz,,10.1007/978-3-662-00237-7,,https://openalex.org/W4229962089,,,148,
10.1016/0034-4877(77)90010-6,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Problems in the mathematical theory of quantum communication channels,1977,A. S. Holevo,Reports on Mathematical Physics,10.1016/0034-4877(77)90010-6,,https://openalex.org/W2075761101,,,85,
10.1109/isit.1998.708669,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Coding theorems for quantum communication channels,2002,A. S. Holevo,,10.1109/isit.1998.708669,,https://openalex.org/W2119703904,,,16,"The more than thirty years old issue of the information capacity of quantum communication channels was dramatically clarified during when a number of direct quantum coding theorems were discovered. To a considerable extent this progress is due to an interplay between the quantum communication theory and quantum information ideas related to more recent development in quantum computing. It is remarkable, however, that many probabilistic tools underlying the treatment of the quantum case have their roots, and in some cases direct prototypes, in the classical Shannon theory."
10.1109/18.669165,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Operational capacity and pseudoclassicality of a quantum channel,1998,Akio Fujiwara; Hiroshi Nagaoka,IEEE Transactions on Information Theory,10.1109/18.669165,,https://openalex.org/W2167074728,,,67,"We explore some basic properties of coding theory of a general quantum communication channel and its operational capacity, including: 1) adaptive measurement with feedback code; 2) reconsideration of single-letterized capacity formula; and 3) pseudoclassicality of a channel."
10.48550/arxiv.quant-ph/9809023,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Coding Theorems for Quantum Channels,1998,A. S. Holevo,arXiv (Cornell University),10.48550/arxiv.quant-ph/9809023,,https://openalex.org/W3099330432,,,170,"The more than thirty years old issue of the (classical) information capacity of quantum communication channels was dramatically clarified during the last years, when a number of direct quantum coding theorems was discovered. The present paper gives a self contained treatment of the subject, following as much in parallel as possible with classical information theory and, on the other side, stressing profound differences of the quantum case. An emphasis is made on recent results, such as general quantum coding theorems including cases of infinite (possibly continuous) alphabets and constrained inputs, reliability function for pure state channels and quantum Gaussian channel. Several still unsolved problems are briefly outlined."
10.48550/arxiv.quant-ph/9907077,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385;forward:10.1109/18.796385,Coding Theorems of Quantum Information Theory,1999,Andreas Winter,arXiv (Cornell University),10.48550/arxiv.quant-ph/9907077,,https://openalex.org/W1794253150,,,104,"Coding theorems and (strong) converses for memoryless quantum communication channels and quantum sources are proved: for the quantum source the coding theorem is reviewed, and the strong converse proven. For classical information transmission via quantum channels we give a new proof of the coding theorem, and prove the strong converse, even under the extended model of nonstationary channels. As a by-product we obtain a new proof of the famous Holevo bound. Then multi-user systems are investigated, and the capacity region for the quantum multiple access channel is determined. The last chapter contains a preliminary discussion of some models of compression of correlated quantum sources, and a proposal for a program to obtain operational meaning for quantum conditional entropy. An appendix features the introduction of a notation and calculus of entropy in quantum systems."
10.48550/arxiv.quant-ph/9705054,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,On Quantum Communication Channels with Constrained Inputs,1997,A. S. Holevo,arXiv (Cornell University),10.48550/arxiv.quant-ph/9705054,,https://openalex.org/W1679133476,,,16,"The purpose of this work is to extend the result of previous papers quant-ph/9611023, quant-ph/9703013 to quantum channels with additive constraints onto the input signal, by showing that the capacity of such channel is equal to the supremum of the entropy bound with respect to all apriori distributions satisfying the constraint. We also make an extension to channels with continuous alphabet. As an application we prove the formula for the capacity of the quantum Gaussian channel with constrained energy of the signal, establishing the asymptotic equivalence of this channel to the semiclassical photon channel. We also study the lower bounds for the reliability function of the pure-state Gaussian channel."
10.48550/arxiv.quant-ph/9807008,T3,0,False,snowball,K,openalex-citations,backward:10.1109/18.796385,Languages of Quantum Information Theory,1998,Andreas Winter,arXiv (Cornell University),10.48550/arxiv.quant-ph/9807008,,https://openalex.org/W1615876464,,,2,"This note will introduce some notation and definitions for information theoretic quantities in the context of quantum systems, such as (conditional) entropy and (conditional) mutual information. We will employ the natural C*-algebra formalism, and it turns out that one has an allover dualism of language: we can define everything for (compatible) observables, but also for (compatible) C*-subalgebras. The two approaches are unified in the formalism of quantum operations, and they are connected by a very satisfying inequality, generalizing the well known Holevo bound. Then we turn to communication via (discrete memoryless) quantum channels: we formulate the Fano inequality, bound the capacity region of quantum multiway channels, and comment on the quantum broadcast channel."
10.1007/978-3-662-04209-0,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,The Physics of Quantum Information,2000,Dirk Bouwmeester; Artur Ekert; Anton Zeilinger,,10.1007/978-3-662-04209-0,,https://openalex.org/W101435204,,,1993,
10.1017/9781316848142,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,The Theory of Quantum Information,2018,John Watrous,Cambridge University Press eBooks,10.1017/9781316848142,,https://openalex.org/W2804172638,,,1408,"This largely self-contained book on the theory of quantum information focuses on precise mathematical formulations and proofs of fundamental facts that form the foundation of the subject. It is intended for graduate students and researchers in mathematics, computer science, and theoretical physics seeking to develop a thorough understanding of key results, proof techniques, and methodologies that are relevant to a wide range of research topics within the theory of quantum information and computation. The book is accessible to readers with an understanding of basic mathematics, including linear algebra, mathematical analysis, and probability theory. An introductory chapter summarizes these necessary mathematical prerequisites, and starting from this foundation, the book includes clear and complete proofs of all results it presents. Each subsequent chapter includes challenging exercises intended to help readers to develop their own skills for discovering proofs concerning the theory of quantum information."
10.1103/physreva.72.032317,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,"Quantum, classical, and total amount of correlations in a quantum state",2005,Berry Groisman; Sandu Popescu; Andreas Winter,Physical Review A,10.1103/physreva.72.032317,,https://openalex.org/W1970986702,,,625,"We give an operational definition of the quantum, classical, and total amounts of correlations in a bipartite quantum state. We argue that these quantities can be defined via the amount of work (noise) that is required to erase (destroy) the correlations: for the total correlation, we have to erase completely, for the quantum correlation we have to erase until a separable state is obtained, and the classical correlation is the maximal correlation left after erasing the quantum correlations. In particular, we show that the total amount of correlations is equal to the quantum mutual information, thus providing it with a direct operational interpretation. As a by-product, we obtain a direct, operational, and elementary proof of strong subadditivity of quantum entropy."
10.1007/s00220-005-1317-6,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,The Capacity of a Quantum Channel for Simultaneous Transmission of Classical and Quantum Information,2005,Igor Devetak; Peter W. Shor,Communications in Mathematical Physics,10.1007/s00220-005-1317-6,,https://openalex.org/W2594901681,,,459,
10.1109/18.985947,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,Strong converse for identification via quantum channels,2002,Rudolf Ahlswede; Andreas Winter,IEEE Transactions on Information Theory,10.1109/18.985947,,https://openalex.org/W2134348739,,,443,"We present a simple proof of the strong converse for identification via discrete memoryless quantum channels, based on a novel covering lemma. The new method is a generalization to quantum communication channels of Ahlswede's (1979, 1992) approach to classical channels. It involves a development of explicit large deviation estimates to the case of random variables taking values in self-adjoint operators on a Hilbert space. This theory is presented separately in an appendix, and we illustrate it by showing its application to quantum generalizations of classical hypergraph covering problems."
10.1109/tit.2003.813556,T3,0,False,snowball,E;K,openalex-citations,backward:10.1109/TIT.2010.2054130;forward:10.1109/18.796385,General formulas for capacity of classical-quantum channels,2003,Masahito Hayashi; Hiroshi Nagaoka,IEEE Transactions on Information Theory,10.1109/tit.2003.813556,,https://openalex.org/W2167830490,,,341,"The capacity of a classical-quantum channel (or, in other words, the classical capacity of a quantum channel) is considered in the most general setting, where no structural assumptions such as the stationary memoryless property are made on a channel. A capacity formula as well as a characterization of the strong converse property is given just in parallel with the corresponding classical results of Verdu-Han (1994) which are based on the so-called information-spectrum method. The general results are applied to the stationary memoryless case with or without cost constraint on inputs, whereby a deep relation between the channel coding theory and the hypothesis testing for two quantum states is elucidated."
10.1088/1367-2630/18/2/023045,T3,0,False,snowball,K,openalex-citations,forward:10.1109/18.796385,The extraction of work from quantum coherence,2016,Kamil Korzekwa; Matteo Lostaglio; Jonathan Oppenheim; David Jennings,New Journal of Physics,10.1088/1367-2630/18/2/023045,,https://openalex.org/W1166788151,,,323,"The interplay between quantum-mechanical properties, such as coherence, and classical notions, such as energy, is a subtle topic at the forefront of quantum thermodynamics. The traditional Carnot argument limits the conversion of heat to work; here we critically assess the problem of converting coherence to work. Through a careful account of all resources involved in the thermodynamic transformations within a fully quantum-mechanical treatment, we show that there exist thermal machines extracting work from coherence arbitrarily well. Such machines only need to act on individual copies of a state and can be reused. On the other hand, we show that for any thermal machine with finite resources not all the coherence of a state can be extracted as work. However, even bounded thermal machines can be reused infinitely many times in the process of work extraction from coherence."
